번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(x),좌표정보(y),문화체육업종명,문화사업자구분명,지역구분명,총층수,주변환경명,제작취급품목내용,보험기관명,건물용도명,지상층수,지하층수,객실수,건축연면적,영문상호명,영문상호주소,선박총톤수,선박척수,선박제원,무대면적,좌석수,기념품종류,회의실별동시수용인원,시설면적,놀이기구수내역,놀이시설수,방송시설유무,발전시설유무,의무실유무,안내소유무,기획여행보험시작일자,기획여행보험종료일자,자본금,보험시작일자,보험종료일자,부대시설내역,시설규모,관광숙박업상세명
28,관광숙박업,03_11_01_P,4600000,CDFI2260032017000001,2017-06-12,,1,영업/정상,13,영업중,,,,,416328890,,350-801,충청남도 홍성군 홍성읍 1006,충청남도 홍성군 홍성읍 조양로205번길 60,350-801,솔레어,2024-05-07 13:30,U,2024-05-09 2:40,,170860.3136,344405.3827,관광숙박업,,상업지역,6,주택가주변,,재난배상책임보험(DB손해보험),숙박시설,6,0,23,932,,,0,0,,0,0,,0,174.79,,0,,,,,,,1160000000,,,,175,소형호텔업
29,관광숙박업,03_11_01_P,4620000,CDFI2260032010000001,2010-04-27,,1,영업/정상,13,영업중,,,,,041-671-8000,,,충청남도 태안군 근흥면 정죽리 386-1,충청남도 태안군 근흥면 정산포로 217,32131,골든베이골프앤리조트,2024-04-17 15:13,U,2024-04-19 2:40,,125959.3747,356945.5997,관광숙박업,,관리지역,7,기타,,,콘도미니엄,6,1,56,8391,GOLDEN BAY GOLF & RESORT,RESORT CONDOMINIUM,0,0,,0,0,,0,2031,,0,,,,,,,500000000,,,,2031,휴양콘도미니엄업
30,관광숙박업,03_11_01_P,4620000,CDFI2260032012000001,2012-08-28,,1,영업/정상,13,영업중,,,,,,,357-904,충청남도 태안군 태안읍 도내리 309-3번지,충청남도 태안군 태안읍 안도내길 28-14,32137,라모스 호스텔,2020-01-10 13:48,U,2020-01-12 2:40,,140222.3986,368136.8702,관광숙박업,,관리지역,4,기타,,,숙박시설,4,,10,1689,LAMOSE HOSTEL,hostel,,,,,,,,424,,,,,,,,,1500000000,,,,424,호스텔업
31,관광숙박업,03_11_01_P,4620000,CDFI2260032013000001,2013-02-21,,1,영업/정상,13,영업중,,,,,041-675-9551,,,충청남도 태안군 소원면 의항리 977-56번지,충청남도 태안군 소원면 만리포2길 235-9,32121,베이브리즈,2020-01-10 13:45,U,2020-01-12 2:40,,123773.4345,366219.7979,관광숙박업,,관리지역,5,기타,,,호텔,4,1,31,1892,BAY BREEZE,Family hotel business,,,,,,,,1344,,,,,,,,,600000000,,,,1344,가족호텔업
32,관광숙박업,03_11_01_P,4620000,CDFI2260032001000001,2001-07-21,,1,영업/정상,13,영업중,,,,,041-671-7000,,357-962,충청남도 태안군 안면읍 중장리 765-81,충청남도 태안군 안면읍 꽃지해안로 204,,아일랜드리솜,2021-12-02 11:21,U,2021-12-04 2:40,,140547.516,332172.5104,관광숙박업,관광사업,상업지역,12,기타,,,숙박시설,11,1,248,30834,ISLAND RESOM,RESORT CONDOMINIUM,0,0,,0,0,,0,30834.15,,0,,,,,,,0,,,,30834,휴양콘도미니엄업
33,관광숙박업,03_11_01_P,4620000,CDFI2260032015000001,2015-11-12,,1,영업/정상,13,영업중,,,,,,,,충청남도 태안군 소원면 의항리 1192,충청남도 태안군 소원면 만리포1길 95,32123,말리오션스파,2023-02-09 13:28,U,2023-02-11 2:40,,123624.0447,365392.5206,관광숙박업,,관리지역,6,기타,,,호텔,5,1,47,2705,,,0,0,,0,0,,0,2704.88,,0,,,,,,,0,,,,2705,가족호텔업
34,관광숙박업,03_11_01_P,4620000,CDFI2260032017000001,2017-08-11,,1,영업/정상,13,영업중,,,,,,,,충청남도 태안군 소원면 모항리 1438번지,충청남도 태안군 소원면 만리포2길 120,32123,롱비치패밀리호텔,2020-04-28 8:51,U,2020-04-30 2:40,,123294.5883,365146.1987,관광숙박업,,,,,,,숙박시설,5,2,33,2603,,,,,,,,,,2603.13,,,,,,,,,6E+11,,,,2603,가족호텔업
35,관광숙박업,03_11_01_P,4570000,CDFI2260032005000001,2005-12-01,,1,영업/정상,13,영업중,,,,,041-835-0870,,323-808,충청남도 부여군 부여읍 쌍북리 433번지,충청남도 부여군 부여읍 북포로 108,33132,백제관광호텔,2020-02-18 17:19,U,2020-02-20 2:40,,192932.7104,310125.0042,관광숙박업,관광사업,자연녹지지역,4,기타,,,콘도미니엄,3,1,41,,BAEKJE TOURIST HOTEL,LODGING BUSINESS,,,,,,,,3990.67,,,,,,,,,400000000,,,,3991,관광호텔업
36,관광숙박업,03_11_01_P,4570000,CDFI2260032010000001,2010-08-27,,1,영업/정상,13,영업중,,,,,041-939-1000,,323-812,충청남도 부여군 규암면 합정리 578,충청남도 부여군 규암면 백제문로 400,33115,(주)호텔롯데,2023-09-12 8:55,U,2023-09-14 2:40,,191011.9948,311472.3716,관광숙박업,,관리지역,10,기타,,,콘도미니엄,10,1,322,0,,,0,0,,0,0,,0,31710.1,,0,,,,,,,45000000,,,,31710,휴양콘도미니엄업
37,관광숙박업,03_11_01_P,4530000,CDFI2260032009000001,2009-08-04,,1,영업/정상,13,영업중,,,,,041-689-7721,,356-872,충청남도 서산시 대산읍 화곡리 51,충청남도 서산시 대산읍 삼길포7로 6,31904,서산수 휴양콘도미니엄,2024-01-19 17:59,U,2024-01-21 2:40,,151134.3102,388392.7264,관광숙박업,,자연녹지지역,4,기타,,,콘도미니엄,4,0,115,0,,,0,0,,0,0,,0,10444,,0,,,,,,,500000000,,,,10444,
