,상호명
0,우사랑
1,밀양식당
2,뒷발이삼계탕
3,미가보리밥식당
4,혜성식당
5,병팔이네 소머리곰탕
6,흥부네
7,탑들식당
8,만포장식당
9,호박이넝쿨채로식당
10,호반
11,의흥식당
12,새서울감자탕
13,부계기사식당
14,송림반점
15,알령반점
16,신왕손짜장
17,화진산장식당
18,초원식당
19,솔바우식당
20,고향산천
21,다정식당
22,전통추어탕
23,대동목장가든
24,세교손칼국수
25,성원숯불
26,페리카나식당
27,태영생막창곰장어
28,군위이동수산
29,부산식당
30,유천가든
31,황솔식당
32,청와식당
33,고향식당
34,중앙식당
35,섬진강식당
36,기러기천둥오리농장가든
37,통나무식당
38,의흥통닭
39,삼장매운탕
40,시장닭발
41,목장식당
42,딱조아
43,서울식당
44,해주식당
45,의흥골목식당
46,성연이치킨
47,간식나라
48,장군한우숯불가든
49,느티나무골
50,꾸띵피자치킨또래오래
51,주홍산장식당
52,정원
53,동원반점
54,다발연수원관광농원
55,효령매운탕
56,골목집매운탕
57,팔송정
58,양스김밥
59,하림각
60,석산정류소식당
61,사라김밥
62,딩구는 해물탕
63,청포도마을
64,이팝브런치카페
65,화본국수전문점
66,이조식당
67,미락이로운 포크
68,홍천뚝배기
69,쉬었다가세요
70,대발이
71,호수식당
72,장수식당
73,장터국밥
74,길안식당
75,비원짱분식
76,산사랑
77,길목식당
78,부곡식당
79,옛고을식당
81,신공항한우프라자
82,동산계곡식당
83,동부반점
84,풍년식당
85,별에서온그닭
86,옛날엄마손칼국시
87,왕손짜장수연각
88,진부령식당
89,들국화
90,으뜸우 2호점
91,무지개가든
92,본죽군위점
93,북경반점
94,맥시칸치킨
95,안정환의 바글바글
96,효령공판장식당
97,딸부잣집식당
98,산촌먹거리식당
99,참샘식당
100,TK레져식당
101,시꼴집
102,두찜경북군위점
103,참좋은김밥천국
104,차향만리
105,밀양돼지국밥
106,동화속으로
107,소담상
108,바삭카츠
109,진한국물 탕
110,화림숯불갈비
114,구안식당
115,둥지가든
116,청도본가
117,두안돼지국밥
118,석담회초밥
119,거북산장식당
120,앵두식당
121,오곡휴게소식당
122,봉필호프
123,작은영토
124,재주식당
125,농암가든
126,땅재농원식당
127,흥부와 놀부
128,토스트앤후르츠
129,금상매운탕
130,도남식당
131,일미정
132,들꽃이야기
133,미진식당
134,신남골식당
135,홍두깨
136,백송온천관광호텔
137,천평기사식당
138,시장식당
139,대흥식당
140,남산식당
141,시골밥상
142,동촌식당
143,수양식당
144,포항식당
145,동원식당
146,군위식당
147,우금식당
148,황진이
150,우보식당
151,산사의밥
152,골목식당
153,구구통닭
154,군위참좋은한우
155,강변식육식당
156,한마음식당
157,풍전치키치키
158,원조 거매 메기 매운탕
159,뽕가는 떡볶이
160,팔공산염소집
161,치키치키부계점
162,안다미로
163,경일식당
164,경산식당
165,김서방통닭
166,강원도물회
167,군위휴게소
168,강변매운탕
169,하림식당
170,원주통닭
171,산너머남촌식당
172,한식당 (주)부자 군위(상)
173,대성식당
174,라이거치킨호프
175,한식당 (주)부자 군위(하)
176,팔공가든
177,옥여봉
178,군위상황약수삼계탕
179,부영야식
180,석산식당
181,소반식당
182,사라온
183,가고파 바비큐 식당
184,송희 소주방
185,씨제이프레시웨이(주) 구니CC그늘집(15홀)
186,피자나라 치킨공주
187,뜰안길
188,BBQ 군위행복점
189,씨제이프레시웨이(주) 구니CC스타트하우스
190,씨제이프레시웨이(주) 구니CC그늘집(5홀)
191,씨제이프레시웨이(주) 구니CC직원식당
192,씨제이프레시웨이(주) 구니CC클럽하우스
193,군위오펠레스토랑
194,군위오펠 산울 티하우스
195,화본역전분식
196,장영채의 군위농가맛집 두향
197,수정식당
198,오늘의 메뉴
199,정동진 횟집
200,뮤지엄스테이
201,철가방
202,다올 밀양돼지국밥
203,먹고가면돼지
204,명자네식당
205,팔공치킨
207,예주가
208,뚝배기나라
209,산동식당
210,미소식당
211,화본레일카페
212,덕담식당
213,연하식당
214,연화식당
215,창평가든
216,우보치킨
217,영동식당
218,대호식당
219,착한식당
220,은주네
221,시골식당
222,선암식당
223,본가원
224,진영숯불갈비
225,선산곱창
226,청수가든
227,와곡지쉼터
228,군산집
229,하림꼬꼬통닭
230,참숯오리
231,영농조합법인석산약바람산촌생태마을
232,서민숯불
233,유사골 식당
234,대기숯불가든
236,군위민속한우
237,cafe호두나무
238,다락재쉼터
239,반올림피자샵 군위점
240,누리마을 감자탕
241,영이네과일카페
242,군위농협장례식당
243,석정식당
244,아미산 식당
245,복지회관식당
246,1박투데이
247,이박사가든
248,돈타작수제돈까스
249,한밭식당
250,막달군
251,월매칼국수
252,숲속에 가든
