상호명,도로명주소,전화번호
우사랑,경상북도 군위군 군위읍 도군로 2645,054-382-2422
밀양식당,경상북도 군위군 군위읍 중앙5길 3,054-382-0014
뒷발이삼계탕,경상북도 군위군 군위읍 중앙길 30,054-382-0075
미가보리밥식당,"경상북도 군위군 군위읍 중앙길 38-14, 여명무지개타운",054-382-0095
혜성식당,경상북도 군위군 군위읍 중앙길 25,054-382-0183
병팔이네 소머리곰탕,경상북도 군위군 의흥면 읍내5길 8,054-382-0405
흥부네,경상북도 군위군 우보면 이화길 119,054-382-0540
탑들식당,경상북도 군위군 의흥면 읍내길 46,054-382-0752
만포장식당,경상북도 군위군 소보면 송원3길 30-22,054-382-0802
호박이넝쿨채로식당,경상북도 군위군 부계면 남산4길 6,054-382-0808
호반,경상북도 군위군 삼국유사면 삼국유사로 438-32,054-382-1029
의흥식당,경상북도 군위군 의흥면 읍내5길 10,054-382-1712
새서울감자탕,경상북도 군위군 군위읍 중앙6길 7,054-382-1789
부계기사식당,경상북도 군위군 부계면 치산효령로 1332,054-382-2044
송림반점,경상북도 군위군 부계면 창평길 16,054-382-2203
알령반점,경상북도 군위군 소보면 송원3길 19,054-382-2228
신왕손짜장,경상북도 군위군 의흥면 동부로 1060,054-382-2294
화진산장식당,경상북도 군위군 부계면 한티로 1549,054-382-2314
초원식당,경상북도 군위군 소보면 송백로 1411,054-382-2498
솔바우식당,경상북도 군위군 부계면 한티로 1633,054-382-2552
고향산천,경상북도 군위군 부계면 한티로 1710-31,054-382-2580
다정식당,경상북도 군위군 소보면 송원4길 7,054-382-2616
전통추어탕,경상북도 군위군 부계면 한티로 2152,054-382-2673
대동목장가든,경상북도 군위군 부계면 한티로 1772,054-382-2712
세교손칼국수,경상북도 군위군 군위읍 동서1길 14,054-382-2939
성원숯불,경상북도 군위군 군위읍 동서길 79,054-382-2944
페리카나식당,경상북도 군위군 군위읍 중앙길 60,054-382-3392
태영생막창곰장어,경상북도 군위군 군위읍 중앙길 161,054-382-3636
군위이동수산,경상북도 군위군 군위읍 중앙5길 12-8,054-382-3640
부산식당,경상북도 군위군 군위읍 중앙6길 4,054-382-3857
유천가든,경상북도 군위군 부계면 한티로 1831-21,054-382-4997
황솔식당,경상북도 군위군 부계면 한티로 2111,054-382-5289
청와식당,경상북도 군위군 부계면 한티로 1760,054-382-5369
고향식당,경상북도 군위군 의흥면 읍내길 58,054-382-5455
중앙식당,경상북도 군위군 우보면 이화3길 1,054-382-5515
섬진강식당,경상북도 군위군 군위읍 중앙길 138-12,054-382-5599
기러기천둥오리농장가든,경상북도 군위군 효령면 용매로 788,054-382-6337
통나무식당,경상북도 군위군 부계면 한티로 1710-1,054-382-6510
의흥통닭,경상북도 군위군 의흥면 읍내길 60,054-382-6562
삼장매운탕,경상북도 군위군 효령면 치산효령로 2242,054-382-6571
