연번,지정일자,상호명,주소,전화번호,업태명,주된음식,위도,경도,데이터기준일자
1,2004-03-31,화정떡갈비,광주광역시 광산구 광산로29번길 6 (송정동),062-944-1275,한식,떡갈비,35.13925746,126.794943,2024-05-01
2,2013-10-31,종가집떡갈비,"광주광역시 광산구 광산로19번길 26 (송정동,(1층))",062-942-1666,한식,떡갈비,35.13933396,126.7933896,2024-05-01
3,1997-07-22,광산나주곰탕,"광주광역시 광산구 상무대로 232, 1층 (송정동)",062-941-4080,한식,곰탕,35.13955819,126.7931595,2024-05-01
4,2004-03-31,형제송정,광주광역시 광산구 광산로29번길 3 (송정동),062-944-0595,한식,떡갈비,35.13904939,126.7946546,2024-05-01
5,2014-11-24,궁,"광주광역시 광산구 송도로85번길 22, 1층 (도산동)",062-944-1980,경양식,"파스타,필라프",35.12644286,126.7867764,2024-05-01
6,2004-09-30,동곡꽃게장,광주광역시 광산구 동곡로185번길 9-1 (하산동),062-943-5005,한식,꽂게장 백반,35.09917652,126.7751165,2024-05-01
7,2014-11-24,일송정,"광주광역시 광산구 동곡로185번길 6 (하산동,(1층))",062-943-2000,한식,꽃게장백반,35.09983084,126.7752269,2024-05-01
8,2014-11-24,신락원,"광주광역시 광산구 풍영로200번길 9, 2층 (장덕동)",062-953-6848,중식,"팔보채, 난자완스",35.18938754,126.8148836,2024-05-01
9,2013-10-31,황솔촌수완점,"광주광역시 광산구 장신로19번안길 23, 1층 (장덕동)",062-943-9233,한식,돼지갈비,35.19147723,126.8131128,2024-05-01
10,2013-10-31,해궁,"광주광역시 광산구 풍영로229번길 53 (장덕동,(1층))",062-955-5562,한식,전복구이,35.19200067,126.8109246,2024-05-01
11,2005-06-30,한솔,광주광역시 광산구 고봉로 257 (장수동),062-956-2877,한식,꿩요리,35.18598478,126.7823748,2024-05-01
12,2014-11-24,주식회사목우촌웰빙마을수완점,"광주광역시 광산구 임방울대로 261 (신가동,(2층))",062-959-9297,한식,"한우갈비찜, 불고기정식",35.185028,126.8186595,2024-05-01
13,2002-06-10,하남낙지마당,광주광역시 광산구 사암로216번길 10-15 (우산동),062-955-8892,한식,"낙지탕, 낙지회무침",35.1626786,126.8091475,2024-05-01
14,2000-06-09,임가네일반음식점,"광주광역시 광산구 사암로130번길 65, 1층 (우산동)",062-941-5706,한식,"육고기류, 비빕밥",35.15597722,126.8110738,2024-05-01
15,2015-11-03,황금진땡이광주본점,"광주광역시 광산구 풍영철길로 15 (우산동,콜롬버스월드206호)",062-952-2276,한식,코다리조림,35.16289525,126.8116598,2024-05-01
16,2015-11-03,현대옥광산우산점,"광주광역시 광산구 무진대로 239, 1층 (우산동)",062-945-8598,한식,콩나물국밥,35.16231794,126.8068009,2024-05-01
17,2013-10-31,토담골,"광주광역시 광산구 용아로380번길 55, 1층 (산정동)",062-952-5292,한식,삼겹살,35.17763635,126.8076719,2024-05-01
18,2010-06-30,우가미가,"광주광역시 광산구 왕버들로 141 (수완동,676-30(1층,2층))",062-961-9933,한식,꽃등심,35.20107126,126.8258986,2024-05-01
19,2005-06-30,매월농원,광주광역시 광산구 구촌반촌길 242 (신창동),062-954-5164,한식,오리구이,35.19105956,126.8500733,2024-05-01
20,2006-07-28,달맞이흑두부,광주광역시 광산구 북문대로 500-17 (신창동),062-972-8465,한식,두부백반,35.20075573,126.8431355,2024-05-01
21,2015-04-03,금수저은수저,"광주광역시 광산구 신창로166번길 24 (신창동,(1층))",062-951-0204,한식,한정식,35.19825123,126.8423019,2024-05-01
22,2003-12-30,청석골칡냉면,"광주광역시 광산구 산월로3번길 46, 2층 (월계동)",062-971-7717,한식,"냉면, 만두",35.2110075,126.8378484,2024-05-01
23,2016-12-01,깐깐한족발,광주광역시 광산구 첨단중앙로116번길 46 (월계동),062-973-2292,한식,"족발, 보쌈",35.21569351,126.8452731,2024-05-01
24,2014-11-24,유자골 순한우,"광주광역시 광산구 첨단중앙로124번길 60 (월계동,(1층))",062-956-3392,한식,"꽃등심, 생고기, 갈비",35.21627758,126.845477,2024-05-01
25,2015-07-16,중식주점진시황,"광주광역시 광산구 첨단중앙로106번길 65-3, 1층 101호 (월계동)",062-974-3939,중식,"짜장면, 짬뽕",35.21514842,126.8463698,2024-05-01
26,2002-12-31,한우일번지식육식당X규이치,광주광역시 광산구 임방울대로801번길 36 (쌍암동),062-974-0022,한식,"한우, 육고기",35.21962393,126.846332,2024-05-01
27,2008-07-01,참일능이,광주광역시 광산구 첨단중앙로182번길 46 (쌍암동),062-951-8844,한식,백숙,35.22165518,126.8462315,2024-05-01
28,2013-10-31,달봉이회수산,"광주광역시 광산구 첨단중앙로152번길 31-16 (쌍암동,B동(1층))",062-974-1133,일식,생선회,35.22041856,126.8443509,2024-05-01
