연번,구군,상호명,도로명주소,전  화,주메뉴
1,중구,5시5막창팩토리,"울산광역시 중구 곽남1길 26, 지상1층 (남외동)",052-297-8288,막창
2,중구,강원도해장국,울산광역시 중구 북부순환도로 864 (서동),052-294-9400,"황태해장국, 생태찌개"
3,중구,궁중삼계탕,울산광역시 중구 먹자거리 6 (성남동),052-244-1156,"삼계탕,전복삼계탕,전복죽"
4,중구,대어,"울산광역시 중구 함월17길 28, 1층 (성안동)",052-243-7886,생선회
5,중구,목토숯불갈비,"울산광역시 중구 해오름8길 65 (남외동, (지상1층))",052-298-9592,"삼겹살, 쌈밥"
6,중구,물참면옥,울산광역시 중구 함월17길 26 (성안동),052-243-3390,냉면
7,남구,(유)아웃백스테이크하우스코리아삼산점,"울산광역시 남구 삼산로 231, 울산 센트럴 자이 301~304호 (달동)",052-256-1491,스테이크
8,남구,가무댕댕,울산광역시 남구 대학로94번길 11 (무거동),052-224-3331,돈까스
9,남구,고반식당 울산삼산점,"울산광역시 남구 달삼로 41, 1층 (달동)",052-269-4555,삼겹살
10,남구,고빈정 물회,"울산광역시 남구 왕생로100번길 9 (달동,번지(지상1층))",052-258-0807,"물회, 생선회"
11,남구,군불로,"울산광역시 남구 삼산중로 8, 달동1층 (달동)",052-227-2766,흑염소구이
12,남구,도동참숯화로,"울산광역시 남구 왕생로 33 (달동,(지상1층))",052-261-8507,"소고기, 돼지고기, 육회"
13,남구,물레가든,울산광역시 남구 왕생로 70 (달동),052-268-5555,"갈비,생삼겹살"
14,남구,김미강,"울산광역시 남구 번영로84번길 5, 2~3층 (달동)",052-258-5552,보쌈
15,남구,미소참치,울산광역시 남구 왕생로36번길 25 (지상 1층 (달동),052-266-9199,"참치회, 생선회"
16,남구,생생낙지,"울산광역시 남구 대학로 35-1, 1~2층 (무거동)",052-212-6666,낙지볶음
17,남구,소라고래집,"울산광역시 남구 장생포고래로 241, 지상1,2층 (매암동)",052-261-2661,고래고기 요리
18,남구,수라간,"울산광역시 남구 삼산로 273 (삼산동,번지(지상16층))",052-245-3937,한정식코스요리
19,남구,신라스테이 울산 카페(cafe),울산광역시 남구 삼산로 200 (달동),052-901-9000,뷔페
20,남구,썸원스키친,울산광역시 남구 돋질로239번길 34 (삼산동),052-256-3520,파스타
21,남구,어궁참가자미횟집,"울산광역시 남구 달삼로23번길 14 (달동,지상1층)",052-260-6565,"초밥,회"
22,남구,울산언양불고기,"울산광역시 남구 월평로 205, 1,2층 (삼산동)",052-267-2645,소고기 숯불구이
23,남구,일식와사비,울산광역시 남구 정동로 117 (삼산동),052-271-3600,"생선회, 생선초밥, 장어구이"
24,남구,정자참가자미,"울산광역시 남구 왕생로45번길 3 (달동,번지(지상1층))",052-222-8814,가자미회
25,남구,정칼국수,"울산광역시 남구 왕생로62번길 11 (달동,(지상 1, 2층))",052-258-0220,"칼국수, 파전, 만두"
26,남구,진상가든,울산광역시 남구 왕생로 38 (달동),052-274-7800,소고기 숯불구이
27,남구,콩&콩리,"울산광역시 남구 돋질로239번길 4-18, 1층 (달동)",052-273-1885,두부찌개
28,남구,할매네대구막창,"울산광역시 남구 수암로40번길 18, 1층 (신정동)",052-256-9870,"막창, 삼겹살"
29,남구,함양집(우시산),"울산광역시 남구 삼산로228번길 19 (달동,번지(지상1층))",052-260-9060,"비빔밥, 묵채"
30,남구,합천돼지국밥,"울산광역시 남구 남중로108번길 36 (삼산동,번지(지상1층))",052-227-1189,"돼지국밥, 돈다리탕"
31,동구,사랑채,"울산광역시 동구 번덕로 10 (일산동), 1층",052-232-0046,"김치찌개, 강된장, 닭볶음탕 등"
32,동구,신사동 보쌈&족발,"울산광역시 동구 보성길 10 (일산동), 1층",052-252-8686,"족발, 보쌈 등"
33,동구,꽃바위 동해반점,"울산광역시 동구 꽃바위3길 63 (방어동), 1층",052-201-1912,"짜장면, 짬뽕, 탕수육 등"
34,동구,해송초밥,"울산광역시 동구 해수욕장1길 4 (화정동), 1층",052-251-8883,"초밥, 탕, 회 등"
35,동구,나고야 일식,"울산광역시 동구 방어진순환도로 683 (일산동), 1층",052-233-6009,"초밥, 탕, 회 등"
36,동구,봉창이칼국수,"울산광역시 동구 방어진순환도로 899 (서부동), 5층",052-250-4570,"칼국수, 만두 등"
37,동구,토모참치&연어,"울산광역시 동구 명덕6길 11 (서부동), 1층",052-236-5652,"참치, 연어 회 등"
38,동구,굴사랑&가야밀면,"울산광역시 동구 등대로 9 (일산동), 1층",052-252-4888,굴국밥 등
39,동구,오리궁뎅이,"울산광역시 동구 동해안로 600, 2층 (주전동), 2층",052-234-5252,"오리불고기, 백숙 등"
40,동구,꽃돼지,"울산광역시 동구 월봉7길 32 (화정동), 1층",052-236-9300,"삼겹, 갈비 등"
41,동구,황금돼지갈비,"울산광역시 동구 해수욕장3길 19 (일산동), 1층",052-201-6363,"삼겹, 갈비 등"
42,동구,옹심이 칼국수,"울산광역시 동구 해수욕장6길 9 (일산동), 1층",052-252-5590,"칼국수, 전, 만두 등"
43,동구,삼교리 동치미 막국수,"울산광역시 동구 동해안로 607 (주전동,지상1층)",052-235-3935,"막국수, 곤드레밥 등"
44,동구,조마루뼈다귀,"울산광역시 동구 꽃바위로 250 (방어동,지상1층)",052-252-3377,"뼈다귀해장국, 전골 등"
45,동구,채선당일산점,"울산광역시 동구 일산진3길 21 (일산동), 1층",052-232-6660,샤브 등
46,동구,라온누리,"울산광역시 동구 옥류로 57 (동부동), 2층",052-251-2510,"피자, 필라프 등"
47,동구,미오리,"울산광역시 동구 등대1길 7 (방어동), 2층",052-252-0012,"갈비찜, 오리불고기 등"
48,동구,하림각,"울산광역시 동구 해수욕장2길 20 (일산동), 1~2층",052-209-2000,"짜장면, 짬뽕, 탕수육 등"
49,동구,쿠우쿠우 울산동구점,"울산광역시 동구 일산진4길 19, 3층 (일산동), 3층",052-252-6274,초밥(뷔페식) 등
50,동구,순례국밥,"울산광역시 동구 남진길 80-12 (방어동), 1층",052-235-7766,"국밥, 수육 등"
51,동구,이비가짬봉,"울산광역시 동구 등대로 22 (방어동), 1층",052-232-3318,"짜장면, 짬뽕, 탕수육 등"
52,동구,따신족발,"울산광역시 동구 등대로 8-10, 101호 (화정동), 1층",0507-1465-8825,족발 등
53,동구,맛있는곰탕이야기,"울산광역시 동구 일산진2길 26, 1층 (일산동), 1층",052-251-1515,"곰탕, 설렁탕 등"
54,동구,오복미역울산일산점,"울산광역시 동구 보성길 25, 1층 (일산동), 1층",052-236-5007,"미역국, 불고기 등"
55,북구,한양횟집,울산광역시 북구 정자1길 87-1 (정자동),052-295-1313,"생선회, 매운탕"
56,북구,원지원,울산광역시 북구 호계로 45 (창평동),052-295-0467,"석쇠불고기, 전통국밥"
57,북구,동해농장식당,울산광역시 북구 무룡로 177 (연암동),052-288-4545,"멧돼지불고기,바베큐"
58,북구,부자가,"울산광역시 북구 동대15길 21 (호계동,(지상1층))",052-282-5233,"오리양념불고기, 오리탕, 오리생소금구이"
59,북구,마굿간,"울산광역시 북구 동대3길 15 (호계동, 지상1~2층)",052-295-6988,"구이(쇠고기,삼겹살,돼지갈비)"
60,북구,대가야삼계탕,울산광역시 북구 동대20길 6 (호계동),052-295-2598,"삼계탕,고디탕,찜닭"
61,북구,남해정통해물찜,"울산광역시 북구 동대1길 11 (호계동, 지상1층)",052-282-1225,"해물찜, 해물곱창"
62,북구,명촌순두부보쌈,"울산광역시 북구 명촌로 13 (진장동, 지상1층)",052-283-1300,"보쌈,순두부"
63,북구,한옥마을,"울산광역시 북구 동대14길 10, 다동 1층 (호계동)",052-286-1090,"콩나물국밥, 등뼈감자탕"
64,북구,압구정한우국밥명촌점,"울산광역시 북구 명촌로 36 (진장동, 지상1층)",052-288-5358,"한우국밥, 설렁탕     "
65,북구,대방낙지.불쭈꾸미,"울산광역시 북구 명촌로 39 (진장동, 지상1층)",052-288-0989,"낙지전골, 불쭈꾸미"
66,북구,가고파,"울산광역시 북구 동해안로 1692 (산하동,(1층))",052-286-4696,"가자미국, 가자미조림,파전, 미주구리회무침 등"
67,북구,배내골참민물장어,"울산광역시 북구 명촌3길 7-1 (진장동, 지상1층)",052-288-5800,장어구이
68,북구,번지농장,"울산광역시 북구 명촌23길 7 (진장동, 지상1층)",052-289-8088,"돌판아구불고기, 돌판아구찜"
69,북구,마늘보쌈,"울산광역시 북구 명촌8길 19 (명촌동, 지상1층)",052-289-9252,"보쌈, 오리불고기"
70,북구,해초,"울산광역시 북구 명촌23길 18 (진장동, 지상1층)",052-283-0029,"참치, 참가자미회"
71,북구,동해반점,"울산광역시 북구 동대중앙로 43 (호계동,(지상1층))",052-286-1912,"면류, 탕수육 등"
72,북구,몽중해아구찜,"울산광역시 북구 명촌23길 6 (명촌동, 지상1층)",052-288-7774,"아구찜, 해물찜 갈비찜"
73,북구,오방촌,울산광역시 북구 명촌15길 4 (명촌동),052-289-5245,오리얌념불고기 훈제
74,북구,손영환비빔국수칼국수,"울산광역시 북구 진장유통로 46 (진장동, 1층)",052-289-7891,"비빔국수, 칼국수"
75,북구,코뚜레,"울산광역시 북구 신답1길 9 (상안동, 지상2층)",052-295-1988,"돼지갈비, 소,돼지숯불구이"
76,북구,도드람마을구이촌,"울산광역시 북구 매곡로 89 (매곡동, 지상1,2층)",052-293-9922,"소고기구이, 육회비빔밥, 돼기고기구이"
77,울주군,중앙암소숯불식당,"울산광역시 울주군 두동면 두동로 1827, 1,2층",052-262-9028,한우불고기
78,울주군,정원숯불구이,울산광역시 울주군 두동면 두동로 1840,052-262-7404,한우불고기
79,울주군,옹심이칼국수,"울산광역시 울주군 범서읍 두동로 229, 1층",052-257-2529,칼국수
80,울주군,고당운집,울산광역시 울주군 범서읍 새밭등길 36,052-211-3131,오리불고기
81,울주군,갈비구락부,울산광역시 울주군 삼남읍 남상평2길 34-12 ((지상2층)),052-264-4747,한우불고기
82,울주군,언양암소불고기,울산광역시 울주군 삼남읍 봉화로 14 (1층),052-263-1478,한우불고기
83,울주군,조금마루,"울산광역시 울주군 삼남읍 서상평강변길 9, 1층",052-263-7060,오리불고기
84,울주군,언양진미불고기,울산광역시 울주군 삼남읍 중평로 33,052-262-4422,한우불고기
85,울주군,보라가든,울산광역시 울주군 삼동면 삼동로 580,052-254-0367,아구찜
86,울주군,청수골식당,울산광역시 울주군 상북면 궁근정2길 3,052-264-5252,오리불고기
87,울주군,다래정식,"울산광역시 울주군 상북면 석남로 844, 1층",052-254-2248,한정식
88,울주군,금장생복집,울산광역시 울주군 서생면 당물길 33,052-239-5638,복국
89,울주군,일출횟집,울산광역시 울주군 서생면 진하해변길 62,052-238-0365,생선회
90,울주군,보광보리밥칼국수,"울산광역시 울주군 서생면 해맞이로 787, A동 1층",052-239-5562,"보리밥, 칼국수"
91,울주군,공원불고기,울산광역시 울주군 언양읍 헌양길 32,052-262-4884,한우불고기
92,울주군,언양기와집불고기,"울산광역시 울주군 언양읍 헌양길 86, A.B동",052-262-0421,한우불고기
93,울주군,대운터,울산광역시 울주군 온산읍 덕동1길 5,052-238-5289,오리불고기
94,울주군,텃밭,울산광역시 울주군 온양읍 동상로 241 (1층),052-276-9411,정식
95,울주군,발리동천,"울산광역시 울주군 온양읍 선양골길 105-16, 2동 1.2층",052-237-1634,한정식
96,울주군,대대 찹쌀아구찜,울산광역시 울주군 웅촌면 상대길 52-15,052-247-7799,아구찜
97,울주군,원터가든,"울산광역시 울주군 웅촌면 웅촌로 642-9, 1층",052-225-3277,오리탕
98,울주군,정수장추어탕,울산광역시 울주군 청량읍 대복동천로 790-2,052-268-2622,추어탕
99,울주군,진부령황태,"울산광역시 울주군 청량읍 상보두현길 53-1, 1층",052-224-7127,황태정식
