연번,상호명,주소,연락처,품목,가격
1,장성금생초국밥,전라남도 광양시 광양읍 인덕로 971,061-763-3875,콩나물국밥,7000
2,돈가스클릭,전라남도 광양시 광양읍 덕산4길 44,061-761-8880,김치찌개,8000
3,왕창국밥,전라남도 광양시 광양읍 희양현로 30,061-762-4870,머리국밥,8000
4,청해루,전라남도 광양시 광양읍 인덕로 1105,061-762-5088,짜장면,6000
5,한국반점,전라남도 광양시 광양읍 은장도길 24,061-761-9999,짜장면,5000
6,장수국밥,전라남도 광양시 중마용소5길 4-1(중동),061-794-1222,머리국밥,8000
7,시장중화요리,전라남도 광양시 중마중앙로 88(중동),061-791-6989,짜장면 ,5000
8,판문점,전라남도 광양시 중마청룡길 6-4(중동),061-791-3322,돼지갈비,12000
9,삼거리식당,전라남도 광양시 하포길 68-1(황길동),061-792-6505,장어탕,8000
10,헤어샵 지윤,전라남도 광양시 광양읍 서평로 15,061-762-1640,커트,10000
11,모아모아빨래방,전라남도 광양시 사동로 7(중동),061-794-7333,정장1벌,5000
12,태극온천탕,전라남도 광양시 광양읍 호북길 25,061-763-6720,목욕,6500
13,백운사우나,전라남도 광양시 폭포사랑길 99(금호동),061-799-3178,목욕,5000
14,멍게네,전라남도 광양시 광양읍 남문길 88,061-763-5718,백반,8000
15,명궁,전라남도 광양시 길호2길 32(중동),061-795-0011,짜장면,5000
16,영진식당,전라남도 광양시 신광길 13(광영동),061-793-8118,백반,8000
17,금호음식점,전라남도 광양시 희망길 12-14(금호동),061-799-3336,김치찌개,7000
18,조선옥숯불갈비,전라남도 광양시 광영로 22(광영동),061-792-8558,된장찌개,8000
19,순한우촌,전라남도 광양시 광양읍 서천변로 28,061-762-9088,육회비빔밥,12000
20,대호돼지국밥,전라남도 광양시 영수길 63(광영동),061-792-8028,돼지국밥,8000
21,미짱헤어,전라남도 광양시 광양읍 용강로 28(1층),061-762-9869,커트,12000
22,92(구이),전라남도 광양시 눈소5길 31-6(마동),061-793-9229,대패삼겹살,6000
23,가위연가미용실,전라남도 광양시 사동로 24(중동),061-792-9887,커트,12000
24,이기하이용원,전라남도 광양시 용지길 34-2(1층),061-791-0000,커트,9000
25,대복삼계탕,전라남도 광양시 시청로 82,061-793-9999,삼계탕,14000
26,까페345,전라남도 광양시 희양현로 23-1,061-761-2138,아메리카노,2500
27,통큰갈비 광양서천점,전라남도 광양시 광양읍 서천1길 1,061-762-1221,삼겹살,10000
28,유성목욕탕,전라남도 광양시 광양읍 호북길 8,061-761-3213,목욕,7000
29,화둥숯불갈비,전라남도 광양시 발섬4길 7-10(중동),061-792-1918,삼겹살,14000
30,룡제원,전라남도 광양시 발섬길 30(중동),061-794-5888,짜장면,6000
31,백운마루,전라남도 광양시 중마청룡길 12-7(중동),061-795-7733,백반,8000
32,마린식당,전라남도 광양시 광양읍 제철로 500,061-795-7901,삼겹살,12000
33,남원골추어탕,전라남도 광양시 정수2길 38(광영동),061-792-5285,추어탕,8000
34,자르지오,"전라남도 광양시 중마로 209-1, 1층",061-791-9828,다자녀커트,7000
35,태경뷔페식당,"전라남도 광양시 광양읍 초남2공단2길 46, 1층",061-791-0000,한식뷔페,7000
36,복재식당,전라남도 광양시 담안2길 16-16,061-791-5267,재첩국,8000
37,신)크린하우스,"전라남도 광양시 담안길 77-9, 1층",061-792-2514,바지기장,3000
38,광양식탁,전라남도 광양시 지동길 143-1(도이동),061-791-0000,삼겹살,12000
39,단비콩,전라남도 광양시 광양읍 용두길 108,061-762-4936,한식,8000
40,비치모텔,전라남도 광양시 진월면 백운1로 389,061-772-7727,숙박,40000
41,엄지손 체형관리,전라남도 광양시 광양읍 매일시장길 42-1,061-791-0000,지압,0
42,붐비어,"전라남도 광양시 광양읍 예구1길 8, 105동 3호",061-763-5530,삼겹살,11000
43,오늘김밥,전라남도 광양시 시청로 67,061-795-0105,오늘김밥,3000
44,우산이발소,전라남도 광양시 신재로 107,061-763-9886,커트,10000
