지정년도,상호명,소재지(도로명),소재지(지번),소재지전화번호,업태명,주된음식
2018,(유)아웃백스테이크하우스코리아삼산점,"울산광역시 남구 삼산로 231, 울산 센트럴 자이 301~304호 (달동)",울산광역시 남구 달동 1364-1 울산 센트럴 자이 ,052-256-1491,패밀리레스트랑,스테이크
2005,가무댕댕,울산광역시 남구 대학로94번길 11 (무거동),울산광역시 남구 무거동 630-18 ,052-224-3331,경양식,돈까스
2017,고반식당 울산삼산점,"울산광역시 남구 달삼로 41, 1층 (달동)",울산광역시 남구 달동 1262-5 1층 ,052-269-4555,한식,삼겹살
2015,고빈정 물회,"울산광역시 남구 왕생로100번길 9 (달동,번지(지상1층))",울산광역시 남구 달동 1328-10 번지(지상1층) ,052-258-0807,기타,"물회, 생선회"
2014,군불로,"울산광역시 남구 삼산중로 8, 달동1층 (달동)",울산광역시 남구 달동 1304-9 ,052-227-2766,식육(숯불구이),흑염소구이
2008,김수사,"울산광역시 남구 남중로94번길 4 (삼산동, (지상2층))",울산광역시 남구 삼산동 203-1 (지상2층) ,052-273-1900,일식,복어요리
2017,도동참숯화로,"울산광역시 남구 왕생로 33 (달동,(지상1층))",울산광역시 남구 달동 1266-12 (지상1층) ,052-261-8507,한식,"소고기, 돼지고기, 육회"
2012,만리장성,"울산광역시 남구 문수로480번길 7 (신정동,번지 외 4필지(지상2층))",울산광역시 남구 신정동 1125-3 번지 외 4필지(지상2층) ,052-291-0002,중국식,중식코스요리
2006,물레가든,울산광역시 남구 왕생로 70 (달동),울산광역시 남구 달동 1354-1 ,052-268-5555,식육(숯불구이),"갈비,생삼겹살"
2015,김미강,"울산광역시 남구 번영로84번길 5, 2~3층 (달동)",울산광역시 남구 달동 1295-5 ,052-258-5552,한식,보쌈
2013,미소참치,울산광역시 남구 왕생로36번길 25 (지상 1층 (달동),울산광역시 남구 달동 1259-9 (지상 1층) ,052-266-9199,횟집,"참치회, 생선회"
2018,생생낙지,"울산광역시 남구 대학로 35-1, 1~2층 (무거동)",울산광역시 남구 무거동 583-15 ,052-212-6666,한식,낙지볶음
2010,소라고래집,"울산광역시 남구 장생포고래로 241, 지상1,2층 (매암동)","울산광역시 남구 매암동 220-19 지상1,2층 ",052-261-2661,한식,고래고기 요리
2016,수라간,"울산광역시 남구 삼산로 273 (삼산동,번지(지상16층))",울산광역시 남구 삼산동 1526-9 번지(지상16층) ,052-245-3937,한식,한정식코스요리
2018,신라스테이 울산 카페(cafe),울산광역시 남구 삼산로 200 (달동),울산광역시 남구 달동 1247-1 ,052-901-9000,뷔페식,뷔페
2018,썸원스키친,울산광역시 남구 돋질로239번길 34 (삼산동),울산광역시 남구 삼산동 1509-19 지상1층 ,052-256-3520,경양식,파스타
2014,어궁참가자미횟집,"울산광역시 남구 달삼로23번길 14 (달동,지상1층)",울산광역시 남구 달동 1266-1 지상1층 ,052-260-6565,횟집,"초밥,회"
2017,온누리,"울산광역시 남구 신복로72번길 24-36, 2층 (무거동)",울산광역시 남구 무거동 1548-3 ,052-221-2558,한식,"명태찜, 대구뽈찜"
2017,울산언양불고기,"울산광역시 남구 월평로 205, 1,2층 (삼산동)",울산광역시 남구 삼산동 1505-3 ,052-267-2645,식육(숯불구이),소고기 숯불구이
2017,이감독참치,"울산광역시 남구 삼산로355번길 19 (삼산동, 지상1층)",울산광역시 남구 삼산동 207-7 지상1층 ,052-264-3737,일식,참치회
2007,일식와사비,울산광역시 남구 정동로 117 (삼산동),울산광역시 남구 삼산동 1532-8 ,052-271-3600,일식,"생선회, 생선초밥, 장어구이"
2015,전복궁,"울산광역시 남구 삼산로355번길 20, 지상1층 (삼산동)",울산광역시 남구 삼산동 206-20 지상1층 ,052-267-7274,한식,전복요리
2013,정자참가자미,"울산광역시 남구 왕생로45번길 3 (달동,번지(지상1층))",울산광역시 남구 달동 1250-11 번지(지상1층) ,052-222-8814,횟집,가자미회
2013,정칼국수,"울산광역시 남구 왕생로62번길 11 (달동,(지상 1, 2층))","울산광역시 남구 달동 1363-9 (지상 1, 2층) ",052-258-0220,분식,"칼국수, 파전, 만두"
2001,진상가든,울산광역시 남구 왕생로 38 (달동),울산광역시 남구 달동 1265-1 ,052-274-7800,식육(숯불구이),소고기 숯불구이
2012,콩&콩리,"울산광역시 남구 돋질로239번길 4-18, 1층 (달동)",울산광역시 남구 달동 1322-7 ,052-273-1885,한식,두부찌개
2017,할매네대구막창,"울산광역시 남구 수암로40번길 18, 1층 (신정동)",울산광역시 남구 신정동 778-31 1층 ,052-256-9870,키즈카페,"막창, 삼겹살"
2008,함양집(우시산),"울산광역시 남구 삼산로228번길 19 (달동,번지(지상1층))",울산광역시 남구 달동 1263-13 번지(지상1층) ,052-260-9060,한식,"비빔밥, 묵채"
2009,합천돼지국밥,"울산광역시 남구 남중로108번길 36 (삼산동,번지(지상1층))",울산광역시 남구 삼산동 170-8 번지(지상1층) ,052-227-1189,한식,"돼지국밥, 돈다리탕"
