상호명,소재지(도로명),소재지전화번호,음식의유형,주된음식
개미집,"부산광역시 수영구 광남로130번길 9, 1층 (광안동)",051-758-7172,한식,낙지볶음
광안리 부산횟집,"부산광역시 수영구 민락수변로 29, 4층 (민락동, 바다마루)",051-753-8881,한식,생선회
광안밀면,"부산광역시 수영구 수영로 587, 1층 (광안동)",051-751-5250,한식,밀면
까치횟집,"부산광역시 수영구 광안해변로344번길 17-20, 5층 5호 (민락동, 풍경타워)",051-753-5866,한식,생선회
남천삼계탕,"부산광역시 수영구 남천동로108번길 14, 1층 (남천동)",051-759-1999,한식,삼계탕
뉴부산횟집,"부산광역시 수영구 광안해변로 31-5, 1~3층 (남천동)",051-625-4200,한식,생선회
동화대반점,"부산광역시 수영구 수영로427번길 11, 1~2층 (남천동)",051-611-6686,중식,탕수육
샤브향남천점,"부산광역시 수영구 광남로 31, 2층 (남천동, BBC빌딩)",051-612-3320,베트남식,월남쌈 샤브샤브
서울깍두기,"부산광역시 수영구 남천동로9번길 61, 1층 (남천동)",051-621-3989,한식,설렁탕
서울부대찌게,"부산광역시 수영구 남천동로9번길 66, 1층 (남천동)",051-621-8080,한식,"부대찌개, 전골"
수정궁,"부산광역시 수영구 민락수변로 25, 1~5층 (민락동, 수정궁빌딩)",051-753-2811,한식,생선회
광안리 신라횟집,"부산광역시 수영구 민락수변로7번길 16, 비치프라자 2~4층(민락동)",051-753-2800,한식,생선회
용궁반점,"부산광역시 수영구 무학로22번길 4, 1층 (광안동)",051-751-2267,중식,자장면
청송양곱창,"부산광역시 수영구 남천동로108번길 8, 1~2층 (남천동)",051-627-5291,한식,양곱창
포항물횟집,"부산광역시 수영구 광안해변로290번길 17, 1~2층 (민락동)",051-752-5732,한식,"생선회, 물회"
할매재첩국,"부산광역시 수영구 광남로120번길 8, 1층 (광안동)",051-751-7658,한식,재첩국
