연번,카테고리,상호명,소재지도로명주소,전화번호,대표메뉴
1,일식,갈매기회센타,구미시 선산읍 단계동길 80,054-481-6800,모듬회
2,한식,갈비마트선산섬,구미시 선산읍 선상동로 1,054-482-4800,돼지갈비
3,한식,금오산감나무백숙,구미시 금오산상가길 35-22 (남통동),054-452-6228,백숙
4,한식,감나무집,구미시 신시로24길 3 (송정동),054-608-7500,"장어구이, 장어탕"
5,한식,강산애,구미시 선산읍 선산대로 1567,054-481-2988,낙지전골
6,한식,거제복집,"구미시 신시로16길 49 (송정동, 1층)",054-462-0096,복매운탕
7,한식,고향가마솥추어탕,구미시 야은로 128 (부곡동),054-443-8877,추어탕
8,한식,고향복어샤브샤브,구미시 칠성로2길 45-3 (신평동),054-464-8697,복어요리
9,한식,구미옥계본가,구미시 산호대로29길 14-5 (옥계동),054-474-7748,모듬구이
10,한식,구미할매국밥,"구미시 인동가산로 341, 1층 (구평동)",,국밥
11,한식,굴마을낙지촌 시청점,구미시 송정대로 62 (송정동),054-458-6400,굴요리
12,한식,권대감집헛제사밥,구미시 고아읍 문장로27길 6-4,054-444-7880,헛제사밥
13,한식,그린카파,구미시 인동36길 98 (구평동),054-474-8889,쭈꾸미볶음
14,한식,금산할매집신평점,"구미시 구미중앙로45길 7 (신평동,2동 1층)",054-463-2992,삼계탕
15,한식,금오산고향촌식당,구미시 금오산상가길 35-11 (남통동),054-455-3010,산채정식
16,한식,금오산성숯불갈비,구미시 산업로 224 (원평동),054-457-7500,소갈비살
17,한식,금오산한우마을,"구미시 옥계남로 7-5, 2층 (옥계동)",054-473-8688,갈비살
18,한식,금오산해물탕.찜,구미시 백산로 91 (송정동),054-452-2209,해물탕
19,한식,기와집,구미시 야은로 133 (부곡동),054-442-6007,영양돌솥밥
20,한식,김태주선산곱창주식회사,구미시 송원서로 77 (원평동),054-458-4129,곱창
21,기타,꽃마름월남쌈샤브앤샐러드바옥계점,"구미시 산호대로24길 9-45, 2층 (옥계동, 거상빌딩)",054-472-0020,월남쌈 샤브샤브
22,한식,꽃피는산골,"구미시 봉곡동로 46 (봉곡동,1층)",054-452-9070,황태물찜
23,한식,낙지마을,구미시 문화로 6 (원평동),054-453-8933,낙 지
24,한식,남다른감자탕도량점,"구미시 야은로 455, 1층 (도량동)",054-455-2110,감자탕
25,기타,놀부옛날통닭구미공단점,"구미시 1공단로 198-7, 2층 (공단동)",054-444-3939,통닭
26,한식,농원황토가든,"구미시 박정희로25길 40-46 (광평동,외 1필지)",054-455-7700,"보양탕,토종닭"
27,한식,다람골,구미시 봉곡남로 62 (봉곡동),054-444-5522,도토리정식
28,일식,다한,"구미시 인동북길 101 (인의동,1층(지번확정))",054-474-3113,회
