연번,상호명,대표자,종류,소 재 지,주요음식
1,153포인츠부대찌개예산점,윤태구,한식,예산읍 금오대로 144,부대찌개
2,고덕갈비,이옥분,한식,덕산면 덕산온천로 371-8,소갈비구이
3,금강장어구이,김상환,한식,오가면 오가중앙로 125,장어구이
4,내가조선의한우다,강하나,한식,광시면 예당로 127-1,한우생고기
5,다루갈비,공병대,한식,예산읍 벚꽃로 100,"소,돼지갈비구이"
6,대보건설(주)예산+(당진방향)휴게소(한식),정광식,한식,신양면 당진영덕고속도로 33,"백반,스넥"
7,두멍,조금자,한식,덕산면 광천홍암길 83-5,"오리백숙,닭백숙"
8,뜨끈이식당,윤병선,한식,덕산면 덕산온천로 331-6,해장국
9,맛나감자탕,조인행,한식,예산읍 역전로140번길 22,감자탕
10,매일한우타운식당,김동주,한식,광시면 예당로 155,한우생고기
11,명가네,조문식,한식,덕산면 수암산로 143,"어죽,추어탕,민물매운탕"
12,민물나라,신미선,한식,응봉면 예당관광로 37,"어죽,민물매운탕"
13,버섯마당집,신원철,한식,예산읍 벚꽃로 492,삼계탕
14,사계절복코다리,한세록,한식,예산읍 금오대로 194,코다림조림
15,산채명가,이영자,한식,덕산면 수덕사로 976,산채정식
16,삼우갈비,송영희,한식,예산읍 임성로23번길 8,소갈비
17,삽다리칼국수,정상윤,분식,삽교읍 충의로 670,칼국수
18,성일산채,김다혜,한식,덕산면 수덕사로 1121,산채정식
19,소복식당,이지은,한식,예산읍 천변로195번길 9,"소양념갈비,갈비탕"
20,수덕고개식당,이정자,한식,덕산면 수덕사로 976,산채정식
21,수목가든,이수만,한식,고덕면 황금뜰로 187,돼지갈비
22,신분준할머니+기러기칼국수,유성조,한식,오가면 윤봉길로 1854,기러기탕백숙
23,양어장가든,윤승병,한식,대흥면 신속대야로 32,메기매운탕
24,역탑리어죽,차복자,한식,오가면 오가중앙로 60,"어죽,추어탕"
25,예산(대전방향)휴게소,오인환,한식,신양면 당진영덕고속도로 34,백반
26,예산냉면갈비,조현구,한식,예산읍 산성공원2길 19,돼지갈비
27,원조설악추어탕,조미숙,한식,예산읍 벚꽃로 211,추어탕
28,임진강장어,장대수,한식,광시면 충절로 2473,장어구이
29,자연식당,맹규재,한식,덕산면 수덕사로 978,산채정식
30,지돈가(지명영농조합법인),지경섭,한식,예산읍 주안길 30,돼지갈비
31,청암회관,윤태구,한식,덕산면 옥계신토길 14,한정식
32,킹콩부대찌개(내포신도시점),이병일,한식,"삽교읍 청사로192번길 20 (106, 107)호",부대찌개
33,태백산가든,조현조,한식,대술면 충령사로 99,생등심구이
