상호명,업태명,연락처,주소,영업시간,주차정보
금산식당,한식,032-467-5513,인천광역시 남동구 구월말로65 (만수동),,공용 40
돈수백 구월점,한식,032-664-3000,인천광역시 남동구 남동대로765번길25 (구월동),,
매콤이,한식,032-471-3646,인천광역시 남동구 만의골로195번길9 (장수동),,
메밀향,한식,032-429-1357,인천광역시 남동구 오봉동로11 (도림동),11:30~21:30,
부암갈비,한식,032-425-5538,인천광역시 남동구 용천로149 (간석동),AM11:00~AM12:00,공용 3
블루베리팜,한식,032-463-7377,인천광역시 남동구 찬우물로21 (수산동),11:00~21:00,
산골농장,한식,032-465-5354,인천광역시 남동구 장승남로33번길30-21 (만수동),10:00~23:00,
우렁각시,기타,032-424-9325,인천광역시 남동구 문화서로4번길61-16 (구월동),10:00 ~ 22:00,
우성농원,한식,032-465-9396,인천광역시 남동구 배려터로11-3 (수산동),,
장흥삼합,한식,032-446-3113,인천광역시 남동구 문화서로4번길61-13 (구월동),11:00~24:00,
천마장작불정육점쉼터고기,한식,032-441-7766,인천광역시 남동구 비류대로805-21 (도림동),AM08:00~PM10:30,전용 20
초원목오리마을,한식,032-433-7418,인천광역시 남동구 청능대로595번길35 (논현동),10:00~22:00,전용 6-7
향촌오리집,한식,032-472-8833,인천광역시 남동구 만수로37번길8-13 (만수동),10:30~10:00,
황해모밀냉면,한식,032-464-8349,인천광역시 남동구 구월말로92 (만수동),AM10:30~PM09:00,공용 0
흑산도홍탁,한식,032-468-2202,인천광역시 남동구 장승남로47번길32-16 (만수동),PM12:00~AM12:00,노상 6
