연 번,상호명,영업자성명,소재지(도로명),소재지전화번호,업태명,주된음식
1,(주)영양숯불갈비,황태욱,경상북도 경주시 봉황로 79 (서부동), 054- 772-2627,한식,숯불생고기
2,가삼골전복순두부,김정숙,경상북도 경주시 현곡면 가삼골2길 21,054 -774 -8775,한식,순두부
3,감포별미횟집,유영준,경상북도 경주시 백률로57번길 10 (동천동), 054- 749-5566,한식,생대구지리
4,감포중매인 참가자미 횟집,최재환,경상북도 경주시 백률로 65-2 (동천동),054 -773 -3611,한식,추어탕
5,강남숯불식당,김진일,경상북도 경주시 태종로 801-11 (황오동),054 -774 -4000,한식,숯불구이
6,경상도추어탕식당,김복남,경상북도 경주시 양정로 219 (동천동), 054- 748-0300,한식,추어탕
7,경주꽃게장,최영숙,경상북도 경주시 알마을길 6-27 (충효동),054 -743 -1302,한식,꽃게장
8,고두반,최성자,경상북도 경주시 대기실3길 11 (도지동),054 -748 -7489,한식,한정식
9,고래등횟집,김승욱,경상북도 경주시 감포읍 대본해안길 34, 054- 771-8796,한식,생선회
10,고미정,한경란,경상북도 경주시 양정로 285 (동천동), 054- 775-0079,한식,오리불고기
11,고색창연,유영희,경상북도 경주시 보불로 58-4 (마동),054 -748 -0952,한식,떡갈비정식
12,금성관,한성호,경상북도 경주시 초당길 117 (동천동), 054- 746-4371,한식,게장정식
13,금오정,문광석,경상북도 경주시 백률로58번길 25 (동천동), 054- 777-2378,한식,보리밥정식
14,기와골맷돌순두부,박국진,"경상북도 경주시 숲머리길 142, 나동 (보문동)",054 -773 -2692,한식,두부
15,낙지마실,한정민,경상북도 경주시 북군길 9 (북군동),054 -749 -0048,한식,불낙전골
16,누릉지삼계탕본마실,이상열,경상북도 경주시 알천남로 64 (성건동), 054- 743-5610,한식,삼계탕
17,늘푸른참가자미횟집,이동훈,경상북도 경주시 안강읍 구부랑3길 14-4, 054- 761-0750,한식,생선회
18,달보드레수육전문점,김영우,경상북도 경주시 외동읍 신계하신안길 3-4,054 -775 -6333,한식,수육
19,대관령동태찌게(동천점),정현길,경상북도 경주시 동천로93번길 2 (동천동),054 -777 -5659,한식,동태찌개
20,대광복집,조경순,경상북도 경주시 외동읍 산업로 2516-6,054 -776 -3090,복어취급,"밀복(매운탕,수육,찜)"
21,독도회식당,주항복,경상북도 경주시 탈해로 34 (동천동), 054- 743-9887,한식,생선회
22,돌고래 회 식당,김욱종,경상북도 경주시 감포읍 동해안로 1888-10, 054- 744-3507,복어취급,물회
23,동궁 반점,김홍규,경상북도 경주시 북군길 27 (북군동),054 -741 -1233,한식,중화요리
24,동주복집,김종관,경상북도 경주시 양정로252번길 9 (동천동),054 -773 -8972,복어취급,복국
25,둘둘오리(안강점),허경애,경상북도 경주시 안강읍 피일안길 19,054 -762 -2252,한식,오리불고기
26,만수로회센터,박분례,경상북도 경주시 문무대왕면 덕실길 12-14,054 -777 -7090,한식,생선회
27,물방아삼계탕,최옥자,경상북도 경주시 알천북로 339-1 (동천동), 054- 749-9944,한식,삼계탕
28,바다회식당,이재민,경상북도 경주시 감포읍 동해안로 2002-3, 054- 744-3546,한식,생선회
29,버들류가네곰탕(충효본점),류대협,경상북도 경주시 충효녹지길 12-1 (충효동),054 -741 -7753,한식,곰탕
30,별채반교동쌈밥,최은미,경상북도 경주시 첨성로 77 (황남동), 054- 773-3322,한식,쌈한정식
31,보문한우셀프구이식당,김정환,경상북도 경주시 엑스포로 9,054 -776 -9200,한식,소고기 요리
32,산내산천매운탕,박명순,경상북도 경주시 산내면 의곡중앙길 9, 054- 751-5620,한식,한식
33,산드레,신보경,경상북도 경주시 보불로 299-5, 054- 746-5400,한식,순두부찌개
34,산성숯불갈비식당,임정숙,경상북도 경주시 숲머리길 211 (보문동),054 -749 -5008,한식,숯불구이
35,삼도숯불갈비식당,강정희,경상북도 경주시 숲머리길 116 (보문동), 054- 771-7717,한식,숯불구이
36,삼영식당,문성자,경상북도 경주시 봉황로 67 (서부동),054 -771 -3030,복어취급,복매운탕
37,샤브향,박재영,경상북도 경주시 원화로 432 (동천동),054 -743 -8877,기타,쇠고기샤브샤브
38,석하한정식,도주경,경상북도 경주시 흥무로 51-14 (충효동), 054- 774-2050,한식,한정식
39,송원숯불갈비,이승용,경상북도 경주시 외동읍 입실로 1 (외 3필지),054 -744 -6464,한식,소고기 숯불구이
40,수리뫼,박미숙,경상북도 경주시 내남면 포석로 110-32,054 -748 -2507,한식,궁중한정식
41,수석정,천명옥,경상북도 경주시 내리길 41 (배반동), 054- 748-0835,한식,한식코스요리
42,순우,기도완,경상북도 경주시 백률로57번길 11 (동천동),054 -745 -5959,식육(숯불구이),쇠고기숯불구이
43,식객,민병소,경상북도 경주시 보문로 402-12 (신평동), 054-744 -8985,한식,한정식
44,쑥부쟁이,김경미,경상북도 경주시 보불로 147-5 (하동), 054- 748-3903,한식,"쑥부쟁이정식(원효반상,선덕반상)"
45,아리랑,윤경,경상북도 경주시 양남면 동해안로 596,,한식,숯불고기
46,아리랑식당,안복선,경상북도 경주시 숲머리길 197 (보문동),054 -777 -4343,한식,닭샤브
47,암소원 식당,김영숙,경상북도 경주시 외동읍 입실로2길 34-17, 054- 744-5959,한식,숯불구이
48,압구정갈비식당,설윤해,경상북도 경주시 백률로57번길 1 (동천동),054 -775 -3358,한식,삼겹살
49,약수삼계탕,김영희,경상북도 경주시 봉황로 86 (동부동),,한식,삼계탕
