연번,상호명,소재지,전화번호,대표메뉴,업태,데이터기준일자
1,남도가든,인천광역시 서구 가남로 401 (가정동),032-581-7667,추어탕,한식,2023-12-31
2,미야스시,"인천광역시 서구 염곡로498번안길 20, 104호 (가정동, 제이에스프라자)",,초밥,한식,2023-12-31
3,옛날황해도순대국,인천광역시 서구 원창로 229 (가정동),032-581-6422,순대국,한식,2023-12-31
4,평양옥,"인천광역시 서구 석곶로 23, 1층 (가정동)",032-582-5959,숭어매운탕,한식,2023-12-31
5,가촌칡냉면,인천광역시 서구 원적로 79 (가좌동),032-583-7664,냉면+설렁탕,한식,2023-12-31
6,강선생의 진짜로 명태촌,"인천광역시 서구 건지로 405-1, 1층 (가좌동)",050-8389-8844,명태,한식,2023-12-31
7,광어한마리,"인천광역시 서구 신진말로 26, 202호 (가좌동, 진주프라자)",032-573-8959,활어회,한식,2023-12-31
8,끼리막창,인천광역시 서구 원적로100번길 14 (가좌동),032-575-4163,막창,한식,2023-12-31
9,노다지삼겹살,인천광역시 서구 장고개로280번길 8 (가좌동),032-583-0068,삼겹살,한식,2023-12-31
10,다열 금강산추어탕,"인천광역시 서구 장고개로 319, 9동 6~8호 (가좌동, 진주아파트상가동)",032-573-9009,추어탕,한식,2023-12-31
11,대구태영생막창,"인천광역시 서구 신진말로 26, 104호 (가좌동, 진주프라자)",032-584-0394,막창,한식,2023-12-31
12,돈뼈락감자탕,인천광역시 서구 신진말로28번길 3 (가좌동),032-579-1114,감자탕,한식,2023-12-31
13,마미식당,인천광역시 서구 원적로96번길 17 (가좌동),032-577-5660,북어조림,한식,2023-12-31
14,만미가,"인천광역시 서구 백범로622번길 20, 2층 (가좌동)",,장어,한식,2023-12-31
15,모밀회관,인천광역시 서구 원적로7번길 4 (가좌동),032-573-6148,메밀국수,한식,2023-12-31
16,박칼국수전문점,인천광역시 서구 원적로 105 (가좌동),032-574-2008,칼국수,한식,2023-12-31
17,배두둑,"인천광역시 서구 원적로 120, 202~203호 (가좌동, 인성프라자)",032-573-8097,곤드레솥밥정식,한식,2023-12-31
18,숯불갈매기살,"인천광역시 서구 신진말로 26, 103호 (가좌동, 진주프라자)",,갈매시살,한식,2023-12-31
19,신돈플러스,인천광역시 서구 건지로 370 (가좌동),032-573-7106,생삼겹살,한식,2023-12-31
20,신진말,인천광역시 서구 원적로7번길 1 (가좌동),032-571-5771,삼겹살,한식,2023-12-31
21,아버지와돈까스,"인천광역시 서구 신진말로 34, 2층 (가좌동)",032-571-0808,돈가스,양식,2023-12-31
22,옹고집바지락칼국수,"인천광역시 서구 원적로 41, 2층 (가좌동)",,바지락칼국수,한식,2023-12-31
23,웰빙보리밥,"인천광역시 서구 원적로47번길 26-2 (가좌동, 제2호(1층))",,보리밥,한식,2023-12-31
24,장마루,인천광역시 서구 원적로 79 (가좌동),032-581-8288,뼈해장국,한식,2023-12-31
25,장수마을,"인천광역시 서구 건지로 405, 2층 (가좌동)",070-7550-3382,오리고기,한식,2023-12-31
26,정샘김밥앤돈까스,"인천광역시 서구 장고개로 264, 101호 (가좌동, 우정빌딩)",032-576-6588,돈가스,분식,2023-12-31
27,주식회사학운정,인천광역시 서구 열우물로208번길 12 (가좌동),032-584-8584,간장게장,한식,2023-12-31
28,칼국수가맛있는집,인천광역시 서구 고래울로24번길 1 (가좌동),032-571-9922,칼국수,한식,2023-12-31
29,한계령약수돌솥,인천광역시 서구 건지로 373 (가좌동),032-581-8228,더덕구이 돌솥정식,한식,2023-12-31
30,호남식당,인천광역시 서구 신진말로14번길 20 (가좌동),032-573-9996,삼겹살,한식,2023-12-31
31,내고향국수집,"인천광역시 서구 승학로 411, 1층 (검암동)",032-562-8983,잔치국수,한식,2023-12-31
32,명가화로구이2,"인천광역시 서구 도요지로 179-1, 2층 (경서동)",032-566-2800,돼지갈비,한식,2023-12-31
33,이태리공방,"인천광역시 서구 청라루비로42번길 5-16, 1층 (경서동)",,파스타+피자,양식,2023-12-31
34,청정칼국수,"인천광역시 서구 푸른로14번길 12, 1층 (경서동)",032-576-7171,청합칼국수+들깨수제비,한식,2023-12-31
35,금화정 남원추어탕,인천광역시 서구 경명대로 692 (공촌동),032-562-5875,추어탕,한식,2023-12-31
36,두부가,"인천광역시 서구 청마로112번길 15-1, 1~3호 (당하동)",032-562-0534,순두부찌개,한식,2023-12-31
37,삼산돌곱창,"인천광역시 서구 청마로 175, 106호 (당하동, 당하뉴욕프라자)",032-561-9209,곱창구이,한식,2023-12-31
38,송화삼계탕,"인천광역시 서구 청마로7번길 21, 103~105호 (당하동)",032-564-0606,삼계탕,한식,2023-12-31
39,미미일품양꼬치,"인천광역시 서구 완정로 192, 1층 (마전동)",032-565-5592,양꼬치,중식,2023-12-31
40,소고기 굼터,"인천광역시 서구 검단로 557, 1~2층 (마전동)",032-562-6692,소고기생갈비,한식,2023-12-31
41,속초코다리조림,인천광역시 서구 완정로10번길 6-4 (마전동),032-565-0503,코다리찜,한식,2023-12-31
42,윤가마당칼국수,인천광역시 서구 완정로202번안길 29 (마전동),032-566-9896,들깨칼국수+수제비,한식,2023-12-31
43,종가집,"인천광역시 서구 검단로 505, 115~116호 (마전동, 이지화인프라자)",032-562-0621,한우+갈비탕,한식,2023-12-31
44,희락초밥,"인천광역시 서구 마전동 582-33, 한림빌딩 101호",032-566-5358,긴꼬리초밥,일식,2023-12-31
45,대청마루,"인천광역시 서구 검단로768번길 10, 201호 (불로동, 창성프라자)",032-568-2877,쌈밥,한식,2023-12-31
46,불로오리,인천광역시 서구 불로동 불로지구 19블럭 2롯트,032-561-9952,한방오리누룽지탕,한식,2023-12-31
47,예뜨레,"인천광역시 서구 검단로 814-2, 2층 (불로동, 견우프라자)",032-563-3883,부대찌개+들깨수제비,한식,2023-12-31
48,지호네갈매기,"인천광역시 서구 가정로294번길 8, 1층 (석남동)",,갈매기살,한식,2023-12-31
49,강가네볼테기찜해장국,인천광역시 서구 염곡로 285 (석남동),032-572-0324,볼테기해장국,한식,2023-12-31
50,고기싸먹는손가네함흥냉면,"인천광역시 서구 신석로 97, 4, 5호 (석남동)",032-576-1954,돼지갈비,한식,2023-12-31
51,금호정,인천광역시 서구 건지로 285 (석남동),032-573-7841,간장게장,한식,2023-12-31
52,나주소곱창,"인천광역시 서구 서달로137번길 12-23, 가동, 나동 1층 (석남동)",032-575-5558,소곱창,한식,2023-12-31
53,누구나양고기전문점,"인천광역시 서구 가정로 283, 11-1호 (석남동)",032-581-9975,양꼬치,중식,2023-12-31
54,대부도바지락 칼국수,"인천광역시 서구 가정로293번길 12-1, 1층 (석남동)",032-571-5111,바지락칼국수,한식,2023-12-31
55,더(The) 맛있는 초밥,인천광역시 서구 가정로 283 (석남동),,초밥,일식,2023-12-31
56,두리문설렁탕,인천광역시 서구 가정로 221 (석남동),032-574-2474,설렁탕,한식,2023-12-31
57,명태정가,"인천광역시 서구 가정로 180, 1층일부 (석남동)",032-577-8660,명태조림,한식,2023-12-31
58,봉평손두부,인천광역시 서구 길주로75번길 35 (석남동),032-579-0968,순두부찌개,한식,2023-12-31
59,산이네정육식당,인천광역시 서구 가정로307번길 9 (석남동),032-575-9298,삼겹살,한식,2023-12-31
60,서해갯마을,인천광역시 서구 명가골로 35 (석남동),032-577-7709,낙지전골,한식,2023-12-31
61,아랜역닭갈비,"인천광역시 서구 가정로 216, 201~202호 (석남동)",032-577-0070,물닭갈비,한식,2023-12-31
62,옛날홍두깨손칼국수,인천광역시 서구 강남로 28 (석남동),032-572-5579,칼국수,한식,2023-12-31
63,왕소,인천광역시 서구 길주로 119 (석남동),032-218-1592,갈비탕,한식,2023-12-31
64,율도참숯불갈비,인천광역시 서구 율도로36번길 2 (석남동),032-572-9115,돼지갈비,한식,2023-12-31
65,이종구 낙지세상,인천광역시 서구 가정로 292 (석남동),032-584-3331,낙지볶음,한식,2023-12-31
66,인하찹쌀순대,인천광역시 서구 율도로 36 (석남동),032-583-9933,순대국,한식,2023-12-31
67,지장수숯불갈비,인천광역시 서구 신석로 64 (석남동),032-581-7799,우렁쌈밥정식,한식,2023-12-31
68,천년우렁쌈밥,"인천광역시 서구 율도로 88, 201호 (석남동)",0503-5263-0966,우렁쌈밥정식,한식,2023-12-31
69,청정들깨수제비,인천광역시 서구 거북로 80 (석남동),,들깨수제비,한식,2023-12-31
70,최태호의 착한참치,"인천광역시 서구 가정로 180, 1~2호 (석남동)",032-578-4747,참치,일식,2023-12-31
71,통돼지두루치기,"인천광역시 서구 석남로 81-1 (석남동, 1층)",032-575-5005,통돼지볶음+김치찌개,한식,2023-12-31
72,화수분,인천광역시 서구 명가골로 24 (석남동),032-581-6422,삼겹살+갈비탕+갈비,한식,2023-12-31
73,황토식당,인천광역시 서구 가정로294번길 9 (석남동),,삼계탕,한식,2023-12-31
74,흥부왕족발,인천광역시 서구 거북로 99 (석남동),032-573-2821,족발,한식,2023-12-31
75,돈스마마,인천광역시 서구 염곡로 360-1 (신현동),,돈가스,양식,2023-12-31
76,문산부대찌개,인천광역시 서구 신현로 45 (신현동),032-577-9262,부대찌개,한식,2023-12-31
77,미친조가비,"인천광역시 서구 염곡로327번길 41, 1층 (신현동)",,조개구이,한식,2023-12-31
78,별미 뼈해장국 감자탕,인천광역시 서구 염곡로383번길 4 (신현동),032-577-8851,해장국,한식,2023-12-31
