연번,상호명,소재지,지정메뉴,전화번호,업태
1,더히든키친,"인천광역시 부평구 신트리로22번길 15-14 (부평동, 1층 일부)",바질페스토파스타,032-272-7276,양식
2,에픽,"인천광역시 부평구 경원대로1363번길 8  (부평동, 1층)",마레크레마,032-512-6692,양식
3,우프,"인천광역시 부평구 충선로203번길 12, 2층 (삼산동, 뉴존프라자 201호)",만조리조또,032-515-1154,양식
4,에그브레이크,"인천광역시 부평구 부평대로39-5(부평동, 1층)",에그베네딕트,,양식
5,세븐스플로어,"인천광역시 부평구 부평대로 15, 7층 (부평동, 부평서파빌딩)",루꼴라감베리피자,,양식
6,아라페로(A L'APERO),"인천광역시 부평구 길주로595번길 21 (갈산동, 1층)",오리가슴살마그레트&크림밤,,양식
7,1982삼계정,"인천광역시 부평구 안남로417번길 20, 2층 (청천동)",녹두삼계탕,032-512-1982,한식
8,참마시무화과오리,"인천광역시 부평구 마장로324번길 8-7, 2층 (산곡동)",오리주물럭,032-503-2648,한식
9,들내음 들깨칼국수,인천광역시 부평구 부흥로 257-7 (부평동),팥칼국수,032-515-4151,한식
10,샐돈키친,"인천광역시 부평구 갈월서로 46, 상가동 지층 1호 (갈산동, 태화아파트)",커플카츠,032-512-5036,양식
11,전석기푸드,인천광역시 부평구 길주남로 119-1 (부개동),전통왕족발,032-527-7878,한식
12,동강해물탕,"인천광역시 부평구 대정로 93, 웰링턴 1층 103호 (부평동)",해물탕,032-524-9166,한식
13,곰네숯불구이,인천광역시 부평구 영성서로 23-9 (삼산동),소양념갈비,032-506-3126,한식
14,현미순두부 두부명가,"인천광역시 부평구 마장로 265, (산곡동,1층)",현미순두부,032-546-6116,한식
15,천공루,"인천광역시 부평구 주부토로 5-14 (부평동, 2층)",냉짬뽕,032-247-5150,중식
16,갈비가,"인천광역시 부평구 부평대로 301 (청천동,남광센트렉스 111호)",속초코다리냉면,032-363-3787,한식
17,천리향양꼬치구이,인천광역시 부평구 열우물로49번길 28 (십정동),찹쌀해물누룽지탕,032-422-6888,중식
18,참맛원주추어탕,"인천광역시 부평구 부흥로 309, 1층 (부평동)",추어탕,032-505-5819,한식
19,세겹살,인천광역시 부평구 부흥로 257-11(부평동),세겹살,032-508-0092,한식
20,돈앤우숯불소금구이,"인천광역시 부평구 주부토로 33(부평동,(1층))",곱창구이,032-361-9229,한식
21,황가복,"인천광역시 부평구 마장로 245, 1층,2층(산곡동)",돼지짬뽕,032-330-0353,중식
22,밀레,인천광역시 부평구 경원대로 1130번길 7(십정동),만조 풍기 파스타,032-502-1600,양식
23,아메리칸트레이,"인천광역시 부평구 부평문화로 70-2, 2층(부평동)",과콰몰리 림프 오픈샌드위치,032-511-8883,양식
24,부평불고기3578,인천광역시 부평구 길주로 494번길 17(청천동),소불고기,032-524-3578,한식
25,우정숯불갈비,"인천광역시 부평구 안남로 261(산곡동, 전방프라자 206호)",수제돼지갈비(국내산),032-507-0709,한식
26,신한우왕국정육식당,"인천광역시 부평구 백범로 538, 2층(십정동)",갈비탕,032-424-5763,한식
27,은수저,인천광역시 부평구 화랑로47번길 24(산곡동),연잎밥알찬밥상정식,032-502-0633,한식
28,경복궁삼계탕,인천광역시 부평구 평천로 553(삼산동),들깨삼계탕,032-511-1494,한식
