연번,시군구명,상호명,도로명주소,업소 전화번호,음식메뉴,지정부서 전화번호,데이터기준일자
1,울산광역시 중구,궁중삼계탕,울산광역시 중구 먹자거리 6,052-244-1156,삼계탕+ 전복삼계탕,052-290-3730,2023-10-06
2,울산광역시 중구,목토숯불갈비,울산광역시 중구 해오름8길 65,052-298-9592,갈치쌈밥+ 돼지갈비,052-290-3730,2023-10-06
3,울산광역시 중구,청한옥,"울산광역시 중구 종가8길 26, 4층",052-294-3007,회냉면+ 갈비찜 정식,052-290-3730,2023-10-06
4,울산광역시 중구,성안마실,울산광역시 중구 성안14길 10,052-245-5156,오리불고기+ 능이백숙,052-290-3730,2023-10-06
5,울산광역시 중구,무주골,"울산광역시 중구 종가6길 32, 6층 601호",052-243-2842,장어구이,052-290-3730,2023-10-06
6,울산광역시 중구,명정대숲갈비,울산광역시 중구 오산3길 76,052-249-5100,돼지갈비+ 청국장,052-290-3730,2023-10-06
7,울산광역시 중구,백악산삼계탕,울산광역시 중구 먹자거리 29,052-211-1867,삼계탕+ 옻삼계탕,052-290-3730,2023-10-06
8,울산광역시 중구,용궁,울산광역시 중구 화합로 371,052-292-0070,탕수육+ 짜장면+ 볶음짬뽕,052-290-3730,2023-10-06
9,울산광역시 중구,화목숯불갈비,울산광역시 중구 구교14길 12,052-291-2440,쌈밥정식+ 돼지갈비,052-290-3730,2023-10-06
10,울산광역시 중구,연가네추어칼제비,울산광역시 중구 백양로 52,052-246-8877,추어칼제비+ 얼큰손칼국수,052-290-3730,2023-10-06
11,울산광역시 중구,금강장어구이,"울산광역시 중구 산전길 8-1, 2~3층",052-297-9205,장어구이,052-290-3730,2023-10-06
12,울산광역시 중구,삼천포굴국밥,울산광역시 중구 번영로 589,052-297-9988,굴국밥+ 멍게비빔밥+ 굴전,052-290-3730,2023-10-06
13,울산광역시 중구,브레드에뜰,"울산광역시 중구 남외1길 105, 201동 105호",052-245-6250,밤페스츄리+ 아몬드고구마빵+ 마약소세지+ 응답하라삼촌버거,052-290-3730,2023-10-06
14,울산광역시 중구,다올장독생아구찜,울산광역시 중구 함월18길 12-12,052-243-5982,생아구찜+ 해물찜,052-290-3730,2023-10-06
15,울산광역시 중구,가리명가본점,울산광역시 중구 성안 12길 1,052-242-2266,갈비탕+ 궁중갈비찜,052-290-3730,2023-10-06
16,울산광역시 중구,얼시궁,울산광역시 중구 종가26길 5,052-297-7666,얼시궁샤브+ 능이버섯샤브,052-290-3730,2023-10-06
17,울산광역시 중구,생식본능,울산광역시 중구 유곡로 62,052-245-4442,한우소곱창구이+ 한우대창구이,052-290-3730,2023-10-06
18,울산광역시 중구,외식명가산해진미,울산광역시 중구 평산4길 50,052-293-3338,갈비+오징어낙+지찜(특별주문코스요리),052-290-3730,2023-10-06
19,울산광역시 중구,후포미송,울산광역시 중구 반구정6길 66,052-296-3389,제주돼지오겹살+ 삼겹살,052-290-3730,2023-10-06
20,울산광역시 중구,굴다리손칼국수,울산광역시 중구 젊음의3거리 13,052-243-6020,칼국수+ 냉칼국수+ 수제비,052-290-3730,2023-10-06
21,울산광역시 중구,백양칼국수,울산광역시 중구 함월17길 28,052-242-0099,조개칼국수+ 칼국수정식,052-290-3730,2023-10-06
22,울산광역시 중구,로즈모스,"울산광역시 중구 종가6길 32, 10층 1002호",052-245-0852,해물크림파스타+ 리조또,052-290-3730,2023-10-06
23,울산광역시 중구,남가족발,울산광역시 중구 평산로 8,052-275-8815,남가족발세트+ 냉채족발,052-290-3730,2023-10-06
24,울산광역시 중구,동천횟집,울산광역시 중구 옥골샘4길 1,052-243-2726,참가자미 회+ 참가자미물회,052-290-3730,2023-10-06
25,울산광역시 중구,더 스위트 타이,울산광역시 중구 중앙길 113,0507-1423-1139,팟타이+ 카오팟뿌 (태국음식),052-290-3730,2023-10-06
26,울산광역시 중구,성하뽈찜,울산광역시 중구 함월21길 28,052-248-6788,대구뽈찜+ 꼬다리찜,052-290-3730,2023-10-06
27,울산광역시 중구,명장스시,울산광역시 중구 중앙시장1길 7,070-8987-7824,모둠초밥+ 광어초밥,052-290-3730,2023-10-06
28,울산광역시 중구,문화의전당 더카페,"울산광역시 중구 종가로 405, 문화의전당 3층",0507-1327-4932,고르곤졸라피자+ 리조토+ 파스타,052-290-3730,2023-10-06
29,울산광역시 중구,운곡도가,울산광역시 중구 구루미6길 6,0507-1308-4563,수제막걸리+ 수제모듬전,052-290-3730,2023-10-06
30,울산광역시 중구,가미닭갈비913,"울산광역시 중구 젊음의2거리 29, 웰컴시티9층",052-245-3007,닭갈비,052-290-3730,2023-10-06
31,울산광역시 중구,장원보쌈,울산광역시 중구 남외1길 58,052-260-0852,보쌈정식,052-290-3730,2023-10-06
32,울산광역시 중구,할머니의 손두부,울산광역시 중구 태화강국가정원길 5,052-224-0393,해물순두부+ 두부마늘보쌈,052-290-3730,2023-10-06
33,울산광역시 중구,태양칼국수,울산광역시 중구 함월14길 54,052-988-2788,해물칼국수+ 비빔국수+ 깻잎전,052-290-3730,2023-10-06
34,울산광역시 중구,성안쌈밥,울산광역시 중구 백양로 7,052-288-9803,제육정식+ 쌈정식,052-290-3730,2023-10-06
35,울산광역시 중구,신사동족발,울산광역시 중구 번영로 546,052-298-3311,족발+ 보쌈,052-290-3730,2023-10-06
36,울산광역시 중구,영하꿀갈비쌈밥,울산광역시 중구 학성1길 46,052-292-5506,두루치기쌈밥+ 떡갈비쌈밥,052-290-3730,2023-10-06
37,울산광역시 중구,유쾌한낙지,울산광역시 중구 태화강국가정원길 231-6,052-245-6800,낙지볶음,052-290-3730,2023-10-06
38,울산광역시 중구,밀양시골밥상,울산광역시 중구 태화강국가정원길 113-1,052-247-3320,생가지미찌개,052-290-3730,2023-10-06
39,울산광역시 중구,대밭골돼지국밥,울산광역시 중구 태화강국가정원길 229-2,052-223-0003,돼지국밥+ 수육,052-290-3730,2023-10-06
40,울산광역시 중구,5시5막창,울산광역시 중구 곽남1길 26,052-297-8288,돼지막창+ 칼국수,052-290-3730,2023-10-06
41,울산광역시 중구,허준굴요리전문점,울산광역시 중구 새치로 29,052-286-9298,굴국밥+ 굴전,052-290-3730,2023-10-06
42,울산광역시 중구,약천한방생오리,울산광역시 중구 성안로 265,052-243-5284,오리불고기+ 오리백숙,052-290-3730,2023-10-06
43,울산광역시 중구,동천향,울산광역시 중구 남외2길 44,052-285-0688,삼선짬뽕+ 짜장면+ 탕수육,052-290-3730,2023-10-06
44,울산광역시 중구,원유곡길 152,울산광역시 중구 원유곡길 152,052-248-0152,꼬들목살+ 삼겹살,052-290-3730,2023-10-06
45,울산광역시 중구,복산돈까스,울산광역시 중구 손골2길 17-6,052-298-4623,특일식돈까스+ 경양식돈까스,052-290-3730,2023-10-06
46,울산광역시 중구,85포크,울산광역시 중구 계변고개 143,052-294-9008,칼집목살+ 칼집삼겹살+ 돼지갈비,052-290-3730,2023-10-06
47,울산광역시 중구,정원,울산광역시 중구 옹수골길 64,052-975-0170,삼겹살+ 꼬들목살,052-290-3730,2023-10-06
48,울산광역시 중구,남강민물매운장어탕,울산광역시 중구 곽남7길 39,052-222-4114,빠가사리매운탕+ 어탕수제비,052-290-3730,2023-10-06
49,울산광역시 중구,울산국수전문점,울산광역시 중구 반구정1안길 50,050-7715-6906,들깨칼국수+ 코다리비빔국수,052-290-3730,2023-10-06
50,울산광역시 중구,태화강순두부,울산광역시 중구 오산5길 21,052-249-5285,해물순두부+ 청국순두부,052-290-3730,2023-10-06
51,울산광역시 중구,정이든보쌈,울산광역시 중구 함월12길 32,052-232-1003,(마늘)보쌈+ 쟁반막국수 ,052-290-3730,2023-10-06
52,울산광역시 중구,강변수구레국밥,울산광역시 중구 태화강국가정원길 135,052-223-2100,수구레국밥+ 선지국밥,052-290-3730,2023-10-06
53,울산광역시 중구,금천면관,울산광역시 중구 병영로 44,052-292-3337,금천짬뽕+ 자장면+ 탕수육,052-290-3730,2023-10-06
54,울산광역시 중구,미친미역,울산광역시 중구 종가5길 90,052-246-9921,한우미역국+ 가자미미역국,052-290-3730,2023-10-06
