상호명,주메뉴,지정업소구분,주소,전화번호,데이터기준일
갱치,한우곰탕,군 모범음식점 / 밥맛좋은집지정업소,"충청북도 괴산군 괴산읍 문무로역고개길 73-1 (동부리, 갱치식당)",043-832-7850,2019-09-05
괴강올갱이해장국,올갱이해장국,군 모범음식점,"충청북도 괴산군 괴산읍 충민로 1 (검승리, 올갱이해장국)",043-832-1144,2019-09-05
괴강향토식당,"올갱이해장국, 매운탕",향토음식거리,"충청북도 괴산군 칠성면 괴강로 314 (두천리, 향토식당)",043-833-8804,2019-09-05
군자식당,민물매운탕,군 모범음식점,충청북도 괴산군 칠성면 괴강로 445,043-832-5167,2019-09-05
꿀꾸리식당,삼겹살,군 모범음식점,충청북도 괴산군 괴산읍 읍내로15길 41,043-832-1352,2019-09-05
느티울집,"오리한방백숙, 매운탕, 올갱이해장국",향토음식거리,"충청북도 괴산군 칠성면 괴강로 326 (두천리, 느티울)",043-832-3419,2019-09-05
목도민물고기집식당,민물매운탕,군 모범음식점 / 도우수모법업소,충청북도 괴산군 감물면 오창로 582-1 (이담리),043-833-7153,2019-09-05
솔뫼골식당,버섯전골,군 모범음식점,충청북도 괴산군 청천면 문장로 3096,043-833-7959,2019-09-05
쌍곡금호쉼터,백반정식,군 모범음식점,충청북도 괴산군 칠성면 연풍로 78,043-832-7566,2019-09-05
양평해장국,해장국,밥맛좋은집지정업소,"충청북도 괴산군 괴산읍 중부로 2003 (동부리, 양평해장국)",043-833-1953,2019-09-05
장터국수식당,장터국수,군 모범음식점,"충청북도 괴산군 괴산읍 읍내로2길 26-1 (동부리, 장터국수)",043-833-0211,2019-09-05
중앙닭집식당,삼계탕,군 모범음식점 / 대물림전통음식계승업소,"충청북도 괴산군 괴산읍 읍내로 319 (동부리, 중앙닭집)",043-833-0414,2019-09-05
청수정,오리백숙,군 모범음식점 / 도우수모법업소,"충청북도 괴산군 청천면 도경로 12 (화양리, 청수정가든)",043-832-2288,2019-09-05
괴산매운탕,민물매운탕,군 모범음식점 / 향토음식거리,"충청북도 괴산군 괴산읍 괴강로 248 (대덕리, 괴산매운탕)",043-832-2838,2019-09-05
얼음골 봄,오리백숙,군 모범음식점 / 도우수모법업소,충청북도 괴산군 감물면 충민로박달길 18 (백양리),043-833-9117,2019-09-05
우리매운탕,민물매운탕,군 모범음식점 / 향토음식거리 / 도우수모법업소,"충청북도 괴산군 괴산읍 괴강로느티울길 8-2 (대덕리, 우리매운탕)",043-834-0005,2019-09-05
미락추어탕,추어탕,군 모범음식점,충청북도 괴산군 괴산읍 읍내로14길 9 (동부리),043-834-2009,2019-09-05
서울감자탕,감자탕,군 모범음식점,충청북도 괴산군 괴산읍 읍내로15길 23,043-833-3460,2019-09-05
신기송어장횟집,송어비빔회,군 모범음식점 / 도우수모법업소,"충청북도 괴산군 문광면 괴산로신기2길 8-25 (신기리, 신기횟집)",043-834-1569,2019-09-05
가족농원식당,오리백숙,군 모범음식점,"충청북도 괴산군 문광면 괴산로 2596 (양곡리, 가족농원)",043-832-4242,2019-09-05
일흥식당,된장찌개,군 모범음식점 / 도우수모법업소 / 밥맛좋은집지정업소,"충청북도 괴산군 사리면 방축길 33 (방축리, 일흥식당)",043-838-0547,2019-09-05
연풍양돈조합식당,등심구이,군 모범음식점,충청북도 괴산군 연풍면 중앙로 26,043-833-9922,2019-09-05
