상호명,유형,소재지,주메뉴,전화번호,위도 ,경도,데이터기준일자
가정옥,한식,인천광역시 서구 가정로352번길 3(가정동),"삼계탕, 꼬리찜",032-583-6783,37.51628334,126.6733423,2023-07-13
갈마골 다슬기옻닭,한식,인천광역시 서구 거북로 124,"옻닭, 오리주물럭",032-582-9288,37.50286873,126.6754739,2023-07-13
강선생막국수,한식,인천광역시 서구 담지로86번길 5-41(청라동),"물막국수, 만두전골",032-576-3939,37.53793,126.66212,2023-07-13
고쉐프의 신선한 초밥,일식,인천광역시 서구 청라에메랄드로41번길 20,모듬초밥,032-278-1848,37.52927677,126.6553755,2023-07-13
교동찹쌀순대,한식,인천광역시 서구 심곡로55번길 5(심곡동),"순대국밥, 모듬수육",032-563-3838,37.54255725,126.6757628,2023-07-13
구도로통닭,한식,인천광역시 서구 청라커낼로260번길 15(청라동),"마늘쫑닭, 왕갈비통닭 ",032-565-9283,37.53207872,126.6463617,2023-07-13
권오길손국수본점,한식,"인천광역시 서구 검단로 789, 1층(불로동)",즉석칼국수,032-564-7541,37.61541759,126.6866379,2023-07-13
금강산추어탕,한식,인천광역시 서구 탁옥로51번길 13-8(심곡동),"추어탕, 삼겹살",032-565-9929,37.54539871,126.6744452,2023-07-13
금화정남원추어탕,한식,인천광역시 서구 청라루비로134번길 6-30,추어정식,032-562-2939,37.53647531,126.642177,2023-07-13
김생곤의 육해공,한식,"인천광역시 서구 원창로64번길 16-8, 1층(원창동)","전복낙지갈비탕, 갈비탕",032-565-8444,37.51772666,126.6535663,2023-07-13
남원추어탕 금화정,한식,"인천광역시 서구 승학로512번길 17, 1층",추어탕,032-564-9919,37.56431,126.67736,2023-07-13
도담초밥,일식,인천광역시 서구 탁옥로 17 (심곡동),"모듬초밥, 활어초밥 ",032-567-0716,37.54419,126.67141,2023-07-13
뜨락민물장어간장게장,한식,인천광역시 서구 담지로86번길 16-37(청라동),"장어구이, 간장게장",032-511-8081,37.53654393,126.6618501,2023-07-13
만흥,중식,인천광역시 서구 신석로 56,"만흥해물짬뽕, 해물철판짜장",032-574-5553,37.51002,126.66813,2023-07-13
문경주의매콤코다리,한식,인천광역시 서구 장고개로 377,매콤코다리조림,032-571-1007,37.49532381,126.6899624,2023-07-13
바다뚝배기동태탕,한식,인천광역시 서구 푸른로16번길 3(경서동),"생대구탕, 알찜, 동태전골",032-578-2580,37.52400462,126.6299855,2023-07-13
서해갯마을,한식,인천광역시 서구 명가골로 35(석남동),전복연포탕,032-577-7709,37.51298486,126.6732762,2023-07-13
석남동함흥냉면,한식,인천광역시 서구 석남로 87(석남동),"냉면, 돼지갈비",032-583-8445,37.50110712,126.6714732,2023-07-13
솔잎장어,한식,"인천광역시 서구 승학로 562, 102호","장어, 열무비빔국수",032-565-4252,37.56624051,126.6819866,2023-07-13
