구분,상호명,소재지,소재지전화,대표음식
으뜸,갈비백반,충청남도 공주시 반포면 금벽로 1490,041-855-1577,"석갈비, 막국수"
으뜸,계곡가든,충청남도 공주시 유구읍 금계산로 957,041-841-6902,한우특수부위
으뜸,고가네칼국수,충청남도 공주시 제민천3길 56 (중동),041-856-6476,"만두전골, 보쌈수육"
으뜸,고향비빔국수오리오리또오리,충청남도 공주시 무령로 485 (신관동),041-858-5730,"비빔국수, 오리주물럭"
으뜸,공산성본가,충청남도 공주시 왕릉로 136 (금성동),041-856-9393,"갈비탕, 돼지갈비"
으뜸,공산성부추해물칼국수,충청남도 공주시 왕릉로 143 (금성동),041-856-2913,"칼국수, 수육"
으뜸,귀빈식당,충청남도 공주시 사곡면 마곡상가길 12,041-841-8027,"산채정식, 청국장정식"
으뜸,귀연당,충청남도 공주시 의당면 월곡리 289번지 1호  ,041-852-9779,"곰탕, 수육"
으뜸,금강가마솥갈비탕,충청남도 공주시 금벽로 741 (무릉동),041-858-4333,"갈비탕, 갈비찜"
으뜸,농업회사법인미마지(주),충청남도 공주시 의당면 돌모루1길 40,041-855-4933,"밤나무아래정식, 소민정식"
으뜸,대전식당,"충청남도 공주시 계룡면 갑사로 476-14, 1층",041-857-5145,"옻닭백숙, 옻오리백숙"
으뜸,대하촌,충청남도 공주시 창벽로 200-3 (소학동),041-855-3391,꽃게탕
으뜸,도토뱅이,충청남도 공주시 쌍신길 127 (쌍신동),041-852-3700,"한방백숙, 묵은지닭볶음탕"
으뜸,도화담,충청남도 공주시 무릉중말길 6 (무릉동),041-858-0822,"간장게장, 한우특수부위"
으뜸,마곡사서울식당,충청남도 공주시 사곡면 마곡상가길 10-3,041-841-8016,"더덕정식, 능이전골"
으뜸,매향막국수,충청남도 공주시 백미고을길 18 (금성동),041-881-3161,"맷돌평양냉면, 메밀막국수"
으뜸,메밀꽃,충청남도 공주시 반포면 금벽로 1336,041-858-5507,"메밀막국수, 수육"
으뜸,명성불고기,충청남도 공주시 웅진로 200 (산성동),041-855-3082,"불고기, 삼겹살"
으뜸,미성,충청남도 공주시 반포면 정광터1길 82-8,041-857-1123,한정식
으뜸,밤골식당,충청남도 공주시 정안면 차령고개로 250,041-858-9159,"닭볶음탕, 닭백숙"
으뜸,백제삼계탕,충청남도 공주시 봉산길 20-1 (중동),041-852-2343,삼계탕
으뜸,부부식당,"충청남도 공주시 봉황로 94, 1층 (반죽동)",041-856-6386,"생삼겹살, 김치찌개"
으뜸,산이골,충청남도 공주시 유구읍 산이골길 14-1,041-841-5233,"오리주물럭, 오리녹두한방백숙"
으뜸,삼대째손두부,충청남도 공주시 전막3길 28 (신관동),041-853-3339,"얼큰이순두부, 두부버섯전골"
으뜸,서울식당,"충청남도 공주시 계룡면 갑사로 476-26, 1층",041-881-5566,"해물파전, 산더덕구이정식"
으뜸,소학장수촌,충청남도 공주시 소학길 13 (소학동),041-853-0555,"누룽지백숙, 파전"
으뜸,수정식당,"충청남도 공주시 계룡면 갑사로 476-16, 1층",041-857-5164,"수정별미정식, 더덕구이정식"
