순서,상호명,도로명주소,음식명,데이터기준일
1,기센장어구이,전북특별자치도 임실군 임실읍 감천로 20,장어구이,2024-05-07
2,임실수제비,전북특별자치도 임실군 임실읍 봉황로 134,다슬기수제비,2024-05-07
3,미식가,전북특별자치도 임실군 임실읍수정로 46,치즈알밥,2024-05-07
4,개미집,전북특별자치도 임실군 임실읍운수로 26,순대국밥,2024-05-07
5,임실축협 한우명품관,전북특별자치도 임실군 임실읍운수로 6,한우,2024-05-07
6,여무누리한우&치즈,전북특별자치도 임실군 임실읍 치즈마을2길 36-3,한우,2024-05-07
7,이도냉면숯불갈비,전북특별자치도 임실군 임실읍 호국로 1716-4,갈비,2024-05-07
8,양자강,전북특별자치도 임실군 임실 읍호국로 1721,탕수육,2024-05-07
9,갈마가든,전북특별자치도 임실군 임실읍 호국로 1880-5,오리구이,2024-05-07
10,가나안식당,전북특별자치도 임실군 강진면 읍호국로 26-1,다슬기탕,2024-05-07
11,성심회관,전북특별자치도 임실군 강진면 호국로 11,다슬기탕,2024-05-07
12,천담집,전북특별자치도 임실군 강진면 강동로 1330,추어탕,2024-05-07
13,강남 참게장 전문,전북특별자치도 임실군 운암면 강운로 1175-20,참게장정식,2024-05-07
14,시골밥상,전북특별자치도 임실군 운암면 강운로 991-63,능이백숙,2024-05-07
15,청호정,전북특별자치도 임실군 운암면 구이로 70-31,매운탕(잡탕),2024-05-07
16,옥정호산장,전북특별자치도 임실군 운암면 운정길 7,매운탕,2024-05-07
17,상운암전주식당,전북특별자치도 임실군 운암면 임운로 1875-4,매운탕,2024-05-07
18,고샅,전북특별자치도 임실군 오수면 삼일로 56-14,오리주물럭,2024-05-07
19,한우랑돼지랑,전북특별자치도 임실군 오수면 삼일로 6-1,돌솥육회비빔밥,2024-05-07
20,섬진강두부마을,전북특별자치도 임실군 덕치면 인덕로 1164,순두부,2024-05-07
21,소곱창구이,전북특별자치도 임실군 성수면 춘향로 2785,소곱창전골,2024-05-07
22,초원장,전북특별자치도 임실군 관촌면 사선2길 46-14,매운탕,2024-05-07
