상호명,주소,주메뉴,전화번호,데이터기준일
수석분식,영덕읍 남석2길 9,"보리밥정식, 추어탕",733-8822,2023-08-29
풍경시골 칼국수,영덕읍 읍사무소1길 8-11,들깨칼국수,734-5225,2023-08-29
이가네 옛날불고기,영덕읍 야성길 58,옛날 불고기,733-8961,2023-08-29
해동초밥,영덕읍 영덕로 130,모듬초밥,733-9406,2023-08-29
남일가든,영덕읍 강영로 510-1,돌솥밥정식,733-1789,2023-08-29
야성숯불가든,영덕읍 우곡길 95,"시레기 정식, 돌솥정식, 불고기",733-3993,2023-08-29
달포고깃간,영덕읍 덕곡길 122-1,"숙성생삼겹살, 돼지갈비",733-3987,2023-08-29
그집에오리,영덕읍 도매길 12-22 ,오리한방 양념불고기,733-5900,2023-08-29
영덕물가자미전문점,영덕읍 영덕대게로 939,물가자미 스페셜 정식,734-5292,2023-08-29
금진가든,강구면 금진길 14-12,"돼지왕갈비, 오겹살, 차돌박이",733-9559,2023-08-29
탐라식당,강구면 강구시장1길 10-1,"가자미찌개, 도루묵찌개",733-8778,2023-08-29
팔각산장,달산면 팔각산로 737,"토종닭 백숙, 닭도리탕",732-3920,2023-08-29
낙원보쌈식당,지품면 속곡길 4,보쌈정식,732-3321,2023-08-29
김가네식당,축산면 축산항길 36,물가자미 정식,733-8860,2023-08-29
태백산맥 만나고쪽갈비,영해면 예주2길 41-4,"삼계탕, 쪽갈비",734-0945,2023-08-29
김대감숯불구이,영해면 벌영길 129-5,돼지갈비,733-7474,2023-08-29
별미회식당,병곡면 흰돌로 255,생대구지리탕,732-1140,2023-08-29
