연번,상호명,주소,전화번호,주메뉴
1,거송복어식당,대구광역시 동구 동촌로 263(방촌동),053-984-6755,복어찜+탕
2,고향집칼국수.재바우,대구광역시 동구 송라로 93(신천동),053-751-6850,칼국수
3,고향차밭골식당,대구광역시 동구 팔공산로 339(송정동),053-981-5883,차밭골 정식
4,더기네장어,대구광역시 동구 팔공산로2길 88(덕곡동),053-982-2537,장어숯불구이+곤드레장어탕
5,만수정,대구광역시 동구 단산길 7-13(봉무동),053-985-1814,장어탕
6,명산가,대구광역시 동구 공항로 140(불로동),053-984-3550,곤드레/연잎밥정식+섬나물비빔밥
7,미소명가미역,대구광역시 동구 효동로6길 47-5(효목동),053-956-9657,가자미미역국+꼬막정찬
8,백림정,대구광역시 동구 도평로 249(도동),053-986-0032,옻닭+옻오리
9,블루문레스토랑,대구광역시 동구 파계로685(중대동),053-981-8088,안심스테이크류
10,산중식당,대구광역시 동구 팔공산로185길 55(용수동),053-982-0077,곤드레밥보쌈세트
11,삼영식당,대구광역시 동구 갓바위로 246(능성동),053-982-0471,청국장+순두부
12,솔연회초밥,대구광역시 동구 화랑로25길 26(효목동),053-745-7016,생선회+물회+초밥
13,송해와오리백숙,대구광역시 동구 율하서로 76(율하동),053-964-5999,능이한방오리백숙+산더미오리불고기
14,수다,대구광역시 동구 동화사2길 21-10(용수동),053-981-4771,해물크림파스타+목살스테이크
15,신암태양칼국수,대구광역시 동구 신성로 63(신암동),053-951-0321,칼국수+돼지수육
16,쌍쌍오리한마당,대구광역시 동구 화랑로88길 76(방촌동),053-983-6689,생오리구이
17,오리짱,대구광역시 동구 효동로6길 86. 2층(효목동),053-959-9252,오리산더미+오리능이백숙
18,장수삼계탕,대구광역시 동구 메디밸리로 5-25(대림동),053-965-0078,삼계탕+찜닭
19,재바우참숯불,대구광역시 동구 송라로 93(신천동),053-422-4800,양념돼지갈비
20,진선재토속음식전문,대구광역시 동구 갓바위로 255-10(진인동),053-983-9066,연요리정찬
21,천서리원조메밀면,대구광역시 동구 갓바위로 243-3(진인동),053-981-6001,한방편육+메밀면
22,춤추는 아양쭈꾸미,"대구광역시 동구 효동로2길 13-3, 2층(효목동)",053-957-2356,직화쭈꾸미
23,해아래숲,대구광역시 동구 파계로138길 26(중대동),053-985-8052,백숙+ 냉면
24,화우정식당,대구광역시 동구 서촌로23길 13-1(덕곡동),053-986-5900,영양오리백숙
25,황토시골집,대구광역시 동구 파계로 604(중대동),053-982-1001,닭백숙
26,행복한맛고을,"대구광역시 동구 이노밸리로54길 3-12, 1층 (신서동)",053-964-8225,버섯만두전골+ 만두국
27,55온족발동촌유원지점,대구광역시 동구 효동로2길 45(효목동),053-939-5568,온족발+불족발 
28,팔도웰빙쌈밥,"대구광역시 동구 팔공로 31길 6-3, 104호,105호,109호,110호(불로동)",053-985-0124,쌈+제육+생선구이
29,팔공은가비,대구광역시 동구 용천로 58 (미곡동),053-983-8886,"능이한방백숙(오리, 닭), 닭볶음탕 "
30,원조어탕 팔공산점,"대구광역시 동구 파계로 569, 1층 (중대동)",053-981-5299,"어탕수제비, 어탕칼국수"
