연번,업 종,상호명,주 소,연 락 처
1,한식,곳간,동천로 93번길1(동천동),054-748-7744
2,한식,서울왕족발치킨,건천읍 작원1길5,054-751-1779
3,한식,모량돼지숯불,충효 5길 45-3(충효동),054-746-3501
4,한식,미락낙지돈지,원효로 41(성건동),054-749-9281
5,한식,우일식당,금성로 247번길28(노서동),054-741-4759
6,한식,황성숯불갈비,소금강로 11-1(용강동),054-741-1162
7,한식,정이든면,유림로 13번길 156(용강동),054-748-0369
8,한식,미니만두,안강읍 비화동길 24-1,054-761-1466
9,한식,오미손칼국수,원효로 169(황오동),054-743-0449
10,한식,삼부식당,봉황로51번길 14(서부동),054-774-0568
11,일식,어심초밥,계림로 81(노동동),054-772-1110
12,중식,미소짜장,동성로 63-10(성건동),054-777-1231
13,커피,바이림의 착한커피,백률로 19(동천동),054-748-9900
14,커피,카페드립,"초당길55번길6,108호(동천동)",054-748-0801
15,미용업,김종순헤어샵,황성로15번길 10-1(황성동),054-749-1215
16,목욕,건천탕,건천읍 건천2길 6,054-751-0153
17,목욕,왕림탕,봉황로110번길 5-2(북부동),054-749-0345
18,한식,두번째로잘하는국밥집,양정로 314(용강동),054-748-9896
19,한식,송정갈비,내서로 429(서면),054-751-0262
20,미용업,카이로스 헤어,"구매택지1길 31, 2층(시래동)",054-741-2644
21,한식,금강삼계탕,"경주시 소금강로 33, 1층(용강동)",054-743-1577
22,목욕업,건강나라(목욕탕),경주시 건천읍 단석로 2016-3,054-751-0031
23,커피,말순이찻집,"경주시 서면 내서로 474, 1층",054-751-1161
24,기타,김경진의 라이브뽕닭,"경주시 양정로 323, 1층(용강동)",054-771-4531
25,한식,입에 쏙 식당,경주시 동천로 11(동천동),
26,미용업,헤어아띠,경주시 현곡면 안현로 68-3,054-776-2636
27,세탁,청림세탁소,경주시 안강읍 비화동길 11-1,054-761-4687
