연번,상호명,읍면동,소재지,전화번호
1,강변장어구이,대대동,순천시 순천만길 436,742-4233
2,도리,왕지동,순천시 왕지4길 4-9,721-1919
3,무공해옹기곱창,조례동,순천시 조례못등2길 3-20,723-8345
4,미주농원,덕월동,순천시 상사호길 120,744-5292
5,밥꽃이야기 들마루,대대동,순천시 순천만길 496,741-5233
6,산들담은,해룡면,순천시 해룡면 정채봉길 30,753-0018
7,순천만외식1번가,덕월동,순천시 덕월길 110,746-3388
8,열무밭애,해룡면,순천시 해룡면 향매1길 15-14,724-2785
9,정원가든,연향동,순천시 장자보1길 50,746-5292
10,정주간,연향동,순천시 상대석1길 15,727-2662
11,참조은시골집,해룡면,순천시 해룡면 해룡로 579,724-6799
12,청해한정식,덕월동,순천시 순천만길 31,742-1717
13,한정식 신화정,연향동,순천시 구암길 26,741-4300
14,향토정,조례동,순천시 남신월4길 13-2,726-6692
15,소담소반,장천동,순천시 중앙3길 10,745-3382
16,향토예찬(향토가든),승주읍,순천시 승주읍 승주괴목 2길 3,751-9076
17,윤소반(최대감),연향동,"순천시 팔마로 333, 지하1층",742-7009
18,용팔이,오천동,순천시 오천6길 37,904-0821
19,거봉통닭,동외동,순천시 연자로 22,753-6977
20,텃밭,조례동,순천시 봉화2길 67,724-1944
21,솔가든,상사면,순천시 상사면 상사호길 218,745-1615
22,황비물회,해룡면,순천시 해룡면 향매1길 16-17,725-5989
23,인생식당,장천동,순천시 대전머리길 13,742-2225
24,산수정산장,서면,순천시 서면 청소길 442,755-9933
25,꼬꼬뱅 갈대숲,오천동,순천시 오천2길 18-7,745-8892
26,한솔가든,서면,순천시 서면 청소길 387,755-3785
27,대연가든,서면,순천시 서면 청소길 68,753-4461
28,열풍아구찜,석현동,순천시 환선로 163,722-2722
29,공원가든,조곡동,순천시 죽도봉길 155,753-1123
30,동백골산장,상사면,순천시 상사면 상사호길 392,745-5578
31,순천만갈대밭식당,대대동,순천시 순천만길 656,741-0727
32,안장춘명가,저전동,순천시 저전3길 6,743-1751
33,고향정가,낙안면,순천시 낙안면 삼일로 34,754-3419
34,햇살뜰,남정동,순천시 장평로 23-1,746-5252
35,나들목,가곡동,순천시 안신기3길 7,755-2120
36,노디목,상사면,순천시 상사면 상사호길 317,742-0884
37,대전집,인제동,순천시 상인제1길 23-5,745-2888
38,산성정,남정동,순천시 장평로 11,745-9592
39,전주덕암청국장,연향동,순천시 하대석길 74,721-3933
40,조례골식당,덕월동,순천시 덕월길 50,742-3364
41,브루웍스협동조합,조곡동,순천시 역전길 61,745-2545
42,에스엠엘키친,행동,순천시 영동길 18,752-4646
43,양와당,왕지동,순천시 왕지3길 4-81,725-6420
44,뱀부스,해룡면,순천시 해룡면 상성길 279,723-8786
45,티움,영동,순천시 옥천길 23,901-1928
46,밀림슈퍼,조곡동,순천시 역전2길 46,
47,덴덴하코 베이크하우스,매곡동,순천시 북정2길 88,
48,조훈모과자점 죽도봉점,조곡동,순천시 봉화로 46,755-3822
49,랑께,영동,순천시 옥천길 31,
50,빅토리아프로방스,영동,순천시 향교길 34,754-8111
51,순천산식,승주읍,순천시 승주읍 승암교길 3,754-1917
52,거목전통순대국밥,풍덕동,순천시 장평로 50,741-7888
53,두꺼비식당,연향동,순천시 상대석1길 19,741-5605
54,농가맛집 덕동원,송광면,순천시 송광면 덕동길 70,755-0009
55,꽃물김치와팥죽,상사면,순천시 상사면 상사호길 460,753-1627
56,소소산식,송광면,순천시 송광사안길 125,755-2305
57,순천만 전라도밥상,대대동,순천시 순천만길 496-1,745-2112
58,낙원회관,장천동,순천시 중앙3길 5-1,745-0112
59,연우당,상사면,순천시 상사면 응령길 7,745-0077
60,형제간,상사면,순천시 상사면 상사호길 282,745-7455
61,명궁관,장천동,순천시 중앙2길 7,741-2020
62,남녘들밥상,풍덕동,순천시 하풍동길 21,901-3334
63,대원식당,장천동,순천시 장천2길 30-29,744-3582
64,수련산방,월등면,순천시 월등면 농곡길 1-4,754-0035
65,만복정,오천동,순천시 오천2길 18-2,721-5427
66,도원경,대룡동,순천시 순천만길 309,744-5566
67,다락육전,풍덕동,"순천시 장평로 60, 아랫장 A-3호",
68,화돌농장,오천동,순천시 오천3길 33,745-3337
69,다락카레호수공원점,왕지동,순천시 왕지4길 14-9,725-0221
70,나눌터,연향동,순천시 팔마1길 4,726-0536
71,골목식당,동외동,순천시 중앙시장길 49,
72,통뼈연가,풍덕동,순천시 하풍동길 27,746-2223
73,남도순수,인제동,순천시 장평로 57,741-2131
74,순천갈대장어,연향동,순천시 연향번영1길 23,741-9595
75,풀뿌리흑두부순천점,풍덕동,순천시 장평로 50,725-2277
76,건봉국밥,인제동,순천시 장평로 65,752-0900
77,성지농원,상사면,순천시 상사면 매재길 1,741-5085
78,해반,해룡면,순천시 해룡면 와온길 103,726-1103
