연번,상호명,소재지도로명주소,전화번호,비고,데이터기준일자
1,맘스쿡,"광주광역시 동구 동계천로143, 1층(동명동)",062-233-1233,향토맛집,2022-01-11
2,옛날밥상,"광주광역시 남구 용대로119번길 6(봉선동, 1층)",062-653-7337,향토맛집,2022-01-11
3,송정떡갈비,"광주광역시 광산구 광산로29번길 1, 1층(송정동)",062-944-1439,향토맛집,2022-01-11
4,홍춘이,"광주광역시 북구 무등로180번길 9-18(신안동, 1층)",062-521-7733,향토맛집,2022-01-11
5,종가집떡갈비,"광주광역시 광산구 상무대로 226, 1층(송정동)",062-943-8282,향토맛집,2022-01-11
6,광신보리밥,광주광역시 북구 두리봉길 2-1(두암동),062-264-1811,향토맛집,2022-01-11
7,조선옥,"광주광역시 남구 효덕로 103, 1층(노대동)",062-654-3322,한상맛집,2022-01-11
8,송원회관,광주광역시 북구 경양로135번길 29(신안동),062-529-3250,한상맛집,2022-01-11
9,만선당어부의밥상,"광주광역시 광산구 수완로11번길 3, 에버그린 1층(신가동)",062-955-5595,한상맛집,2022-01-11
10,백년미가(유촌점),"광주광역시 서구 유덕로28번길 18, 1층(유촌동)",062-946-3392,한상맛집,2022-01-11
11,영빈관,"광주광역시 서구 풍암순환로128번길 75, 지상2층(풍암동)",062-384-6000,한상맛집,2022-01-11
12,㈜해동활어,"광주광역시 서구 상무대로 653-1, 1층(마륵동)",062-374-3579,한상맛집,2022-01-11
13,예향계절한정식,"광주광역시 서구 상무평화로 131(치평동, 2층)",062-381-8700,한상맛집,2022-01-11
14,행복한임금님수완점,"광주광역시 광산구 왕버들로 113-2, 가동 1층(수완동)",062-267-9292,한상맛집,2022-01-11
15,절기밥상,"광주광역시 북구 하서로672번길 45(용전동, 1층)",062-574-8220,한상맛집,2022-01-11
16,아리랑 하우스,"광주광역시 동구 무등로 321번길 2(계림동, 1,2층)",062-525-2111,한상맛집,2022-01-11
17,해인,광주광역시 북구 저불로69번길 2(용봉동),062-523-9800,한상맛집,2022-01-11
18,남가정,광주광역시 동구 지호로 137-7(지산동),062-227-4114,한상맛집,2022-01-11
19,한옥식육식당,"광주광역시 남구 백서로 82-7, 1층(양림동)",062-675-8886,한상맛집,2022-01-11
20,관가,광주광역시 동구 의재로96번길 18(소태동),062-226-0040,오래맛집,2022-01-11
21,제일중화요리,"광주광역시 동구 구성로174, 1,2층(금남로5가)",062-223-6395,오래맛집,2022-01-11
22,광주식당,"광주광역시 동구 구성로194번길 25, 1층(대인동)",062-228-9907,오래맛집,2022-01-11
23,칠우불고기,"광주광역시 동구 제봉로 194, 1층(대인동)",062-227-1011,오래맛집,2022-01-11
24,서울곱창,광주광역시 광산구 송정로15번길 71(송정동),062-944-1135,오래맛집,2022-01-11
25,초유지,광주광역시 북구 하서로523번길 11(용두동),062-571-1137,오래맛집,2022-01-11
26,남해가든,"광주광역시 남구 봉선로133번길 23(봉선동, 1,2층)",062-671-8348,오래맛집,2022-01-11
27,대소양,"광주광역시 서구 상무민주로 4(쌍촌동, 1층)",062-363-9292,오래맛집,2022-01-11
28,마한지,"광주광역시 동구 문화전당로 39-1(광산동, 외1필지(1,2층))",062-234-9261,힐링맛집,2022-01-11
29,홀리데이인광주호텔,"광주광역시 서구 상무누리로 55, 1층(치평동)",062-610-7061,힐링맛집,2022-01-11
30,대덕회관,광주광역시 북구 능안로 13(오치동),062-268-3433,힐링맛집,2022-01-11
31,옥과한우촌(상무점),"광주광역시 서구 내방로 39-1, 1,2,3층(치평동)",062-383-1592,힐링맛집,2022-01-11
32,나주곰탕길여사댁,"광주광역시 광산구 용아로400번길 30, TERRACE56 PICNICMALL 1층1004~1008호(하남동)",062-956-6623,힐링맛집,2022-01-11
33,옛날에금잔디,광주광역시 광산구 도산로9번길 54(도산동),062-941-5316,힐링맛집,2022-01-11
34,해무리,"광주광역시 남구 유안초등북1길 13, 1층(봉선동)",062-674-9494,힐링맛집,2022-01-11
35,꾸시닭,광주광역시 동구 천변좌로 630번길 2(소태동),062-653-6788,힐링맛집,2022-01-11
36,한우사랑,"광주광역시 남구 효덕로 150, 1,2층(노대동)",062-674-3292,힐링맛집,2022-01-11
37,깐깐한족발(본점),광주광역시 광산구 첨단중앙로116번길 46(월계동),062-973-2292,힐링맛집,2022-01-11
38,무등산민속촌,"광주광역시 동구 무등로 590, 1,2층(산수동)",062-228-2800,힐링맛집,2022-01-11
39,서울장수국수,"광주광역시 광산구 송정로8번길 41, 1층(송정동)",062-942-9139,힐링맛집,2022-01-11
40,임가네일반음식점,"광주광역시 광산구 사암로130번길 65, 1층(우산동)",062-941-5705,힐링맛집,2022-01-11
41,더셰프,"광주광역시 서구 상무대로 1032, 1층 101호(화정동)",062-383-0624,감성맛집,2022-01-11
42,긴자상회,"광주광역시 서구 운천로17번길 4-9(금호동, 1층)",062-373-7371,감성맛집,2022-01-11
43,알랭,"광주광역시 동구 동명로20번길17-6(동명동, 1층)",062-228-2345,감성맛집,2022-01-11
44,테스팅노트,"광주광역시 서구 군분로159번길 13, 1층(화정동)",062-461-0420,감성맛집,2022-01-11
45,오카츠,"광주광역시 서구 치평로 112, 1충 103호(치평동, 정연하이빌)",062-373-3355,감성맛집,2022-01-11
46,피터테이블,"광주광역시 광산구 장신로 120, 1층 101호",062-956-4034,감성맛집,2022-01-11
47,구산가든,"광주광역시 남구 압촌길 54-5, 1층(압촌동)",062-371-9345,웰빙맛집,2022-01-11
