번호,지역,상호명,메뉴,주소,연락처,홈페이지
1,청주,제이팜,블루베리피자 블루베리주스,충청북도 청원구 북이면 대길길 20-2,,https://janghkd.blog.me/
2,충주,햇살블루베리농원,블루베리정식 쿠키만들기 체험,충청북도 충주시 중앙탑면 탑평리 37-1,043-855-7042,
3,충주,팔봉골,두부전골 청국장 비지장,충청북도 충주시 대소원면 팔봉안길 8,,
4,제천,밥상위의 보약한첩(밥보),더덕불고기정식 장아찌류,충청북도 제천시 월악로 17길 16-9,043-642-3230,https://blog.naver.com/kindj67/220739402436
5,보은,배영숙산야초밥상,대추정식 산나물류 부각,충청북도 보은군 속리산면 법주사로 253,043-543-1136,https://www.siksinhot.com/P/280940
6,보은,온제향가,온제반상 전통주,충청북도 보은군 내북면 아치실길 64-13,043-543-1954,https://onjehyangga.modoo.at/
7,옥천,나무달팽이,떡갈비·닭갈비·수육 정식 올갱이비빔밥,충청북도 옥천군 옥천읍 마암로 125-16,,
8,영동,상촌감이야기,곶감밥상 포도샐러드 영동한우불고기,충청북도 영동군 상촌면 임산5길 18-8,043-743-3746,
9,증평,산촌묵밥,한방수육 비빔막국수 묵밥,충청북도 증평군 증평읍 삼성길 21,043-838-1097,
10,진천,농민쉐프의묵은지화련,묵은지갈비전골 손두부,충청북도 진천군 덕산면 이영남로 73,043-536-5191,
11,괴산,얼음골 봄,지칭개오리백숙 도토리묵밥,충청북도 괴산군 감물면 충민로 1085,043-833-9117,
12,단양,수리수리봉봉,산채정식 산채만두 산야초스테이크,충청북도 단양군 대강면 사인암로 391-5,043-422-2159,http://www.surisuribb.com/
13,단양,수수꼭다리,수수꼭다리 한상 시골밥상,충청북도 단양군 가곡면 사평3길,043-422-9955,https://susukkok.modoo.at/
14,음성,복숭아 꽃피는,복숭아한우불고기 복숭아국수,충청북도 음성군 감곡면 가곡로 217,043-883-8989,
