번호,상호명,소재지(도로명),소재지전화번호,음식의유형,주된음식
1,갑기회관 전북혁신점,"전북특별자치도 완주군 이서면 오공로 11-13, 테라스샵주1동 2층 202호",063-236-5766,한식,육회비빔밥
2,고산촌,전북특별자치도 완주군 고산면 남봉로 132-4,063-261-8899,,한우등심
3,곰바위산장,전북특별자치도 완주군 동상면 대아수목로 279,063-243-0622,,한방백숙
4,기양초,전북특별자치도 완주군 소양면 송광수만로 508,063-247-6667,비빔밥류,부추다슬기돌솥밥
5,대관령동태찌개와낙지볶음,전북특별자치도 완주군 봉동읍 완주산단9로 7,063-241-6256,,동태찌개
6,대둔산강변가든 펜션,전북특별자치도 완주군 운주면 대둔산로 1912-7,063-263-4919,찜류,유황능이한방백숙
7,대왕가든,전북특별자치도 완주군 용진읍 구억명덕로 11,063-243-2941,전골류,소곱창전골
8,모악애뜰,전북특별자치도 완주군 구이면 모악산길 32,063-236-4566,,떡갈비정식
9,몽펠리에레스토랑,전북특별자치도 완주군 소양면 원대흥길 127-21,063-254-6300,경양식,안심스테이크
10,백궁가든,전북특별자치도 완주군 봉동읍 서정길 6,063-261-7133,,어죽탕
11,백제명가,전북특별자치도 완주군 봉동읍 둔산3로 97,063-261-1954,장국류,송사리매운탕
12,소래버섯나라,전북특별자치도 완주군 용진읍 초포다리로 242,063-245-3613,,한우등심 샤브샤브
13,송우즉석순두부,전북특별자치도 완주군 삼례읍 과학로 508,063-261-8484,찌개류,순두부찌개
14,송전산장,전북특별자치도 완주군 소양면 신지송광로 831,063-243-5148,찜류,묵은지닭매운탕
15,신성탕집,전북특별자치도 완주군 봉동읍 봉동로 38,063-261-6804,한식,염소탕
16,약수가든,전북특별자치도 완주군 화산면 화산로 668-27,063-262-2602,찜류,참붕어찜
17,양평해장국 이서혁신점,전북특별자치도 완주군 이서면 지사제로 3,063-227-5282,한식,"감자탕,곱창전골"
18,연화정,전북특별자치도 완주군 용진읍 완주로 386-14,063-246-6669,장국류,쏘가리탕
19,오 동태마을 봉동둔산점,전북특별자치도 완주군 봉동읍 둔산2로 14,063-261-8383,한식,동태찌개
20,운암식당,전북특별자치도 완주군 고산면 대아저수로 292,063-263-5522,장국류,메기매운탕
21,원조 화심두부,전북특별자치도 완주군 소양면 전진로 1066,063-243-8952,찌개류,화심순두부
22,이서(순천방향)휴게소한식(그린웰),전북특별자치도 완주군 이서면 호남고속도로 161,063-227-4334,,완주한우 불고기비빔밥
23,이서(천안방향)휴게소 한식(그린웰),전북특별자치도 완주군 이서면 호남고속도로 162,063-236-2594,,능이버섯 소고기국밥
24,청주본가,전북특별자치도 완주군 봉동읍 둔산3로 19,063-261-2616,,갈비탕
25,초포가든,전북특별자치도 완주군 용진읍 구억명덕로 19,063-243-1397,구이류,한우갈비살
26,코다리촌 완주점,전북특별자치도 완주군 용진읍 초포다리로 235-8,063-243-2431,전골류,전복불낙전골
27,코리아숯불갈비,전북특별자치도 완주군 봉동읍 은하길 50,063-261-5523,구이류,돼지갈비
28,풍천장어 직판구이,전북특별자치도 완주군 삼례읍 삼례역로 28,063-291-8282,한식,소금구이 숯불장어
29,한도령본가추어탕,"전북특별자치도 완주군 삼례읍 녹색로 64, 한도령추어탕 1동 1층",063-291-0020,한식,돌솥추어탕
30,한라산도야지,전북특별자치도 완주군 봉동읍 신보상길 26,063-262-6633,구이류,오겹살
31,한밭식당,전북특별자치도 완주군 운주면 대둔산공원길 30,063-263-9121,백반류,산채정식
32,한양회관,전북특별자치도 완주군 고산면 고산로 81,063-263-5400,,한우생갈비
33,화산한우직판가든,전북특별자치도 완주군 봉동읍 과학로 1017,063-263-3777,구이류,한우갈비살
34,화심순두부본점,전북특별자치도 완주군 소양면 전진로 1051,063-243-8268,한식,화심순두부찌개
35,화심장어,전북특별자치도 완주군 소양면 상관소양로 1107,063-243-9221,구이류,장어구이
