연번,지정번호,시군명,상호명,대표자,주소,주메뉴,지정년도,지정상세
1,제2020-1호,포항시,금산삼계탕고디탕,엄후불,경북 포항시 북구 중흥로 145 (죽도동),삼계탕,2020,재지정 : 2022
2,제2021-2호,포항시,영주매운탕,윤대수,경북 포항시 남구 연일읍 동문로 45-6,매운탕,2021,재지정 : 2023
3,제2021-3호,포항시,대복삼계탕,구기석,경북 포항시 남구 인덕로8번길 13-6,삼계탕,2021,재지정 : 2023
4,제2018-2호,김천시,우천냉면,박나희,경북 김천시 문당길 79,냉면,2018,재지정 : 2022
5,제2022-1호,김천시,산중고을,김은경,김천시 대항면 황학동길31,산채정식,2022,2022 신규
6,제2022-2호,김천시,자연속으로,박정신,김천시 지레면 지례로219-21,파김치장어,2022,2022 신규
7,제2023-1호,김천시,시니어클럽 소소한한끼,이동근,김천시 부곡맛고을6길16,비빔밥,2023,2023 신규
8,제2018-3호,안동시,금강옥,김순교,경북 안동시 강남1길 133-16,"한우구이, 육회비빔밥, 곤드레밥",2018,재지정 : 2022
9,제2021-4호,안동시,친절한한우갈비,김수미,경북 안동시 경동로 677-8,안동한우생갈비,2021,재지정 : 2023
10,제2022-3호,영주시,두부마을택지2호점,손주현,"영주시 대동로34번길 2, 2층 (가흥동)","홍삼두부수육보쌈, 샤넬청국장, 홍삼순두부",2022,2022 신규
11,제2022-4호,상주시,수라간,김경미,상주시 상서문3길 119,한우불고기정식,2022,2022 신규
12,제2022-5호,상주시,새감포복집,진진단,상주시 낙양3길 39-51,아구수육,2022,2022 신규
13,제2021-5호,문경시,우정가든,김광순,경북 문경시 문경읍 온천3길 1,약돌 삼겹살,2021,재지정 : 2023
14,제2021-6호,문경시,새재할매집,송미현,경북 문경시 문경읍 새재로 922,"더덕석쇠구이정식, 고추장 양념 석쇠구이 정식",2021,재지정 : 2023
15,제2022-6호,문경시,산동네청국장,노진국,문경시 매봉6길 3-12,청국장,2022,2022 신규
16,제2022-7호,문경시,황토담,김영미,경북 문경시 문경읍 온천2길 38-13,약돌돼지 고추장주물럭,2022,2022 신규
17,제2022-8호,문경시,대한곱창,조을흠,문경시 중앙10길 9,김치곱창전골,2022,2022 신규
18,제2023-2호,문경시,김태희청국장,김태희,문경시 매봉2길28,청국장찌개,2023,2023 신규
19,제2023-3호,문경시,남원추어탕,임춘자,문경시 매종로 56-1,"추어탕, 어탕",2023,2023 신규
20,제2023-4호,문경시,마당바위,정우섭,문경시 문경읍 새재로 898,마당바위더덕정식,2023,2023 신규
21,제2023-5호,문경시,새재산장설악가든,이영순,문경시 문경읍 하초리 344-12,십전대보오리백숙,2023,2023 신규
22,제2023-6호,경산시,더반,서동환,경산시 삼성현로 185,대추한정식,2023,2023 신규
23,제2022-9호,의성군,청호가든,윤경자,의성군 봉양면 경북대로 4942,"메기찜,메기매운탕",2022,2022 신규
24,제2017-8호,청송군,청송영양축산농협한우프라자,황대규,경북 청송군 부동면 주왕산로 440,한우사과양념구이,2017,재지정 : 2023
25,제2021-8호,청송군,농가맛집 두연,장두연,경북 청송군 청송읍 초막본길 40,두부전골정식,2021,재지정 : 2023
26,제2022-10호,청송군,웰빙하우스,김흔,청송군 청송읍 휴양단지길 34-1,토종재래닭코스,2022,2022 신규
27,제2023-7호,청송군,주왕산가든,윤동윤,청송군 주왕산면 주왕산로 508-9,명품한우불고기,2023,2023 신규
28,제2023-8호,청도군,청도숯불갈비,정미옥,청도군 청도읍 고수동1길 8-5,청도복숭 돼지갈비,2023,2023 신규
29,제2022-11호,고령군,고령금산한우,허복선,고령군 성산면 성산로 946-5,한우갈비살,2022,2022 신규
30,제2016-12호,성주군,별고을한우,문윤국,경북 성주군 성주읍 참별로 2491-4,불고기전골,2016,재지정 : 2022
31,제2021-11호,성주군,고방찬 남경식당,김외숙,경북 성주군 성주읍 시장길 10-10,등겨장 석쇠구이,2021,재지정 : 2023
32,제2022-12호,성주군,감골식당,김정희,경북 성주군 경산길 9-3,건어물찜,2022,2022 신규
33,제2021-12호,칠곡군,늘봄날,장재목,경북 칠곡군 왜관읍 석전로 109,"돌솥비빔밥, 흑돼지구이",2021,재지정 : 2023
34,제2022-13호,칠곡군,거정숯불갈비,강대웅,칠곡군 왜관읍 군청4길 24,돼지갈비,2022,2022 신규
35,제2019-7호,예천군,언덕숯불,장인동,경북 예천군 예천읍 충효로 512-5,토종한방참깨백숙,2019,재지정 : 2023
36,제2020-11호,예천군,제주복집,안정숙,경북 예천군 예천읍 이미기길 71,버섯야채 복어불고기,2020,재지정 : 2022
37,제2022-14호,예천군,한국관복어집,부화,예천군 예천읍 군청길 42-4,황복야채불고기,2022,2022 신규
38,제2022-15호,예천군,카라,서지영,예천군 예천읍 맛고을길 47,"수제치즈돈가스,수제등심돈가스",2022,2022 신규
39,제2022-16호,예천군,황소네집,양정화, 예천군 예천읍 맛고을길 55,황소네집모듬,2022,2022 신규
40,제2023-9호,예천군,가자한우물회,송정옥,예천군 예천읍 충효로 390-3,한우물회,2023,2023 신규
41,제2022-17호,봉화군,쉼터민물매운탕,이명자,봉화군 명호면 광석길 28-1,능이버섯모둠전골,2022,2022 신규
42,제2022-18호,울진군,연지가,권혜순,"울진군 울진읍 대나리항길 133, 1층",전복미역국 정찬,2022,2022 신규
43,제2022-19호,울진군,흰바위한식고을,정경용,울진군 온정면 백암온천로 1281,버섯전골,2022,2022 신규
