연번,상호명,영업자명,소재지(도로명),전화번호,업태명,주메뉴,데이터기준일자
1,갈비스타,박인홍,(흥사동) 하공로 237-85,063-542-3131,한식,돼지갈비,2024-03-05
2,광주복집,정인순,(요촌동) 요촌중1길 8,063-547-3346,한식(복어취급),"복탕, 아귀탕",2024-03-05
3,그린회관,김점녀,금산면 모악로 470,063-548-4090,한식,"한방백숙, 산채비빔밥",2024-03-05
4,김제명가순두부,서은숙,금구면 콩쥐팥쥐로 622,063-548-0333,한식,순두부찌개,2024-03-05
5,남촌숯불갈비,신현숙,금구면 봉두로 58,063-547-3392,한식,"돼지갈비, 갈치정식",2024-03-05
6,다솜차반,김경자,금구면 대율2길 83,063-546-5565,한식,한정식,2024-03-05
7,대운한우암소회관,강진주,금산면 모악로 7,063-544-5375,한식,구이류,2024-03-05
8,더본감자탕 김제점,신중호,(검산동) 도작로 159,063-542-3332,한식,묵은지뼈해장국,2024-03-05
9,매일회관,유대종,(요촌동) 남북로 140 ,063-542-7345,한식,"한정식, 불낙",2024-03-05
10,모정산골냉면,허영만,(검산동) 풍요로 8,063-544-8033,한식,"냉면, 칼국수",2024-03-05
11,바랑산,박정민,금구면 대율2길 192,063-546-5350,한식,"빠가탕, 묵은지닭볶음탕",2024-03-05
12,밥도둑게장마을 1호점,전분영,금산면 우림로 107,063-548-5288,한식,"간장게장, 꽃게장",2024-03-05
13,백산가든,문홍만,백산면 하정2길 207,063-546-5210,한식,"붕어찜, 메기탕",2024-03-05
14,섬마을바지락칼국수,홍인숙,(서암동) 중앙로 47,063-543-5000,한식,"바지락칼국수, 불낙전골",2024-03-05
15,손가네바지락손칼국수,김순희,(요촌동) 동서로 170 ,063-548-3939,한식,"바지락칼국수, 황태전골",2024-03-05
16,송가면옥함흥냉면,손순임,(요촌동) 중앙로 121-5,063-545-2123,한식,"냉면, 갈낙새",2024-03-05
17,오유민동태마을,이현영,(요촌동) 요촌서길 9-20,063-547-2265,한식,동태탕,2024-03-05
18,일등한우정육식당,김국권,금산면 금산사로 77,063-545-1131,한식,구이류,2024-03-05
19,일범식당,이양근,금산면 모악로 468-7,063-548-4023,한식,"산채더덕정식, 산채비빔밥",2024-03-05
20,임도령남원추어탕,이혜경,(요촌동) 요촌중2길 19 ,063-545-1654,한식,"추어탕, 수제돈가스",2024-03-05
21,정성로스,임성애,(검산동) 검산택지5길 33-17,063-548-3088,한식,"삼겹살구이, 제육백반",2024-03-05
22,정자나무가든,최낙숙,만경읍 두내산2길 7,063-542-4015,한식,묵은지 닭볶음탕,2024-03-05
23,중수원,이림태 외 1명,(요촌동) 동서9길 4 ,063-542-8014,중식,짜장,2024-03-05
24,청원골검정콩두부수제비보쌈,김현례,금산면 모악8길 20-6,063-548-4052,한식,"깜밥닭백숙, 검은콩두부보쌈",2024-03-05
25,촌집,김현주,금산면 금산사로 561,063-543-0071,한식,낙지볶음,2024-03-05
26,총체보리한우촌,강미란,(옥산동) 동서로 62,063-543-9796,식육(숯불구이),"구이류, 육회비빔밥",2024-03-05
27,호수가에풍경가든,이미숙,백산면 하정2길 221,063-547-3001,한식,닭볶음탕,2024-03-05
