업태,상호명,소재지,주요취급품목,전화번호,데이터기준일자
한식,고바우덕,정읍시 수성택지7길 16-17,오리전문점,063-531-0776,2023-12-13
한식,궁뜰,정읍시 북면 외야길 94-4,보리굴비,063-536-1150,2023-12-13
한식,금거북,정읍시 북면 정읍북로 665,"생선정식, 간장게장",063-536-3456,2023-12-13
한식,꽃마름정읍중앙로점,"정읍시 중앙로 129, 2층",샤브샤브,063-535-1002,2023-12-13
한식,남도흑염소,정읍시 충정로 229,"흑염소전골, 흑염소수육",063-532-7676,2023-12-13
한식,내장산명인관,정읍시 내장산로 941-13,"단풍미락, 산채정식",063-538-8981,2023-12-13
한식,내장산한우한돈,정읍시 북면 정읍북로 626-2,"한우, 한돈, 갈비탕",063-535-4466,2023-12-13
한식,너른마당,정읍시 하신경10길 5 (상동),"추어탕, 묵은지닭볶음",063-532-7004,2023-12-13
한식,다복정,정읍시 중앙2길 5-4 (수성동),"복지리, 아구찜",063-533-1977,2023-12-13
한식,단풍미인한우관,정읍시 참단과학로 405 (신정동),"소고기, 특수부위",063-536-8855,2023-12-13
일식,도해,정읍시 수성택지7길 24-15,"칼국수, 돈가스",063-927-3008,2023-12-13
양식,돈페정읍점,"정읍시 충정로 59, 4층 (상동)","돈가스, 뷔페",063-537-5855,2023-12-13
한식,두리맛감자탕정읍점,정읍시 중앙로 250 (상동),"감자탕, 해물뼈찜",063-538-3838,2023-12-13
한식,뚝방가든,정읍시 칠보면 중앙로 103-31,자연산민물매운탕,063-534-5777,2023-12-13
양식,라라코스트정읍수성점,"정읍시 중앙로 113, 2층 (수성동)","포크스테이크, 빠네파스타",063-535-3231,2023-12-13
양식,레스토랑마리서사본점,정읍시 수성택지4길 20-12,"이돈, 생채볶음밥",063-538-6781,2023-12-13
한식,만나숯불갈비,정읍시 신태인읍 석지로 818,돼지갈비,063-571-8892,2023-12-13
양식,메이플트리레스토랑,정읍시 정인1길 55 (수성동),"이탈리안돈가스, 치킨그라탕",063-535-2433,2023-12-13
한식,명물육개장,정읍시 중앙로 4 (연지동),"육개장, 뼈전골",063-536-1255,2023-12-13
한식,명성쌈밥,정읍시 수성택지1길 13-16,제육쌈밥,063-533-3404,2023-12-13
중식,명품짬뽕,정읍시 내장산로 5 (상동),"돼지고기짬뽕, 짜장, 차돌짬뽕",063-538-1819,2023-12-13
한식,명품한우정육식당,"정읍시 충정로 39-1, 2층 (상동)","한우구이, 양념돼지갈비,생삼겹살구이",063-537-1555,2023-12-13
중식,모란,정읍시 샘골로 135 (수성동),"탕수육, 고추짬뽕",063-535-9888,2023-12-13
한식,박가네,정읍시 명덕로 55-1,"삼겹살, 오리주물럭",063-536-2582,2023-12-13
한식,밥보씨아전복,정읍시 하신경8길 10 (상동),"전복장, 새우장",063-536-9956,2023-12-13
한식,백학정,정읍시 태인면 태인로 29-3,떡갈비백반,063-534-4290,2023-12-13
한식,복돼지삼겹살,정읍시 중앙로 247 (상동),"삼겹살, 막창구이, 옻닭,한방오리",063-537-3392,2023-12-13
한식,본가,정읍시 중앙2길 5-6 (수성동),"설렁탕, 갈비탕",063-536-0073,2023-12-13
한식,불타는안창살,정읍시 시기1길 9,"안창살, 돼지갈비",063-536-5515,2023-12-13
한식,산골냉면전문점,정읍시 내장산로 16-8 (송산동),냉면,063-535-6265,2023-12-13
한식,산성가든,정읍시 옹동면 태산로 2383-3,"생오리주물럭, 아구탕",063-537-7086,2023-12-13
